Title,Film,Year,Singer,Composer,Lyricist,Lyrics
main to dillii se dulahan laayaa re ai baabuu jii,jhoola,1941,arun kumar rehmat bano,saraswati devi,pradeep,	a	main to dillii se dulahan laayaa re	ai baabuu jii	ai baabuu jii	ra	meraa bambaii se baalam aayaa re	ai baabuu jii	ai baabuu jii	a	main to dillii se dulahan laayaa re	ai baabuu jii	a	biiwii merii naazuk ra	sajan alabelaa	sajan alabelaa	do	naye zamaane ke majanuuolailaa	naye zamaane ke majanuuolailaa	sone men suhaagaa milaayaa re	ai baabuu jii	ai baabuu jii	ra	baabuu jii main huun saudaagar kii chhorii	baabuu jii main huun saudaagar kii chhorii	hoy sainyaa ne kar lii mere dhan kii chorii a	hen chorii kaisii chorii ra	inane gupachup	inane gupachup meraa dil churaayaa re	ai baabuu jii	ai baabuu jii	ra	meraa bambaii se baalam aayaa re	ai baabuu jii	a	baabuu jii itanii araj suno morii	baabuu jii itanii araj suno morii	are maine kal hii to dillii men	isake baap kaa karajaa chukaayaa re	ai baabuu jii	ai baabuu jii	ra	mere baap kaa naam na lenaa	jhuuthon ke saradaar	varanaa taanaa duungii	gaalii biis hazaar	dekhodekho jii	dekhodekho jii hazaar	hamako chhedo naa bekaar	varanaa meraa bhii gussaa savaayaa re	ai baabuu jii	ai baabuu jii	a	pyaarii guiyaan aao aao	saarii baaten bhul jaao	saarii baaten bhul jaao	ra	bolo merii qasam a	haan haan ra	haan haan haan	bolon merii qasam a	haan haan	terii qasam	tere bhaaii kii qasam	terii ammaa kii qasam	tere baap kii qasam do	aaj mausam salonaa aayaa re	ai baabuu jii	ai baabuu jii	
havaa tuu unase jaa kar kah de,rimjhim,1949,rafi ramola,khemchand prakash,moti,	havaa tuu unase jaa kar kah de ik diivaanaa aayaa hai terii suurat pe marane vaalaa ik paravaanaa aayaa hai	jab se matavaalii aankhon se aankhen huii hain chaar tumako dekhe binaa na tab se milataa hamen qaraar yahii afasaanaa laayaa hai teraa diivaanaa aayaa hai	hamako tumase tumako hamase dil ko dil se kaam dilavaalon ke lab pe rahataa hai dilabar kaa naam ajab mastaanaa aayaa hai teraa diivaanaa aayaa hai	mil jaae diidaar mujhe main ho jaauun qurabaan ek jhalak dikhalaa do raanii de duun apanii jaan yahii nazaraanaa laayaa hai teraa diivaanaa aayaa hai 
kaise chhipoge ab tum kaise chhipoge,bandhan,1940,leela chitnis,saraswati devi,pradeep,	kaise chhipoge ab tum kaise chhipoge o salone saajanaa kaise chhipoge	kaise chhipoge ab tum kaise chhipoge o salone saajanaa kaise chhipoge	jaan gaii main tumhaarii aankhmichaulii pahachaan gaii main tumhaarii aankhmichaulii ab to bataao mujhe tum kaise chhaloge	jaan gaii main tumhaarii aankhmichaulii pahachaan gaii main tumhaarii aankhmichaulii ab to bataao mujhe tum kaise chhaloge	o salone saajanaa kaise chhipoge kaise chhipoge ab tum kaise chhipoge o salone saajanaa kaise chhipoge	mainne kiyaa band tumhen aankhadiyon men	mainne kiyaa band tumhen aankhadiyon men	kamal kii paankhadiyon men is naye bandhan se kabhii chhut na sakoge	kamal kii paankhadiyon men is naye bandhan se kabhii chhut na sakoge	o salone saajanaa kaise chhipoge	kaise chhipoge ab tum kaise chhipoge o salone saajanaa kaise chhipoge	kaise chhipoge ab tum kaise chhipoge o salone saajanaa kaise chhipoge	
haay chandaa gae parades,chakori,1949,lata,hansraj behl,m r bhakri,	haay chandaa gae parades chakorii yahaan ro ro mare ro ro mare haay chandaa gae parades	diipon se jaljal mare patangaa	diipon se jaljal mare patangaa	aur ghuunghat men gorii jale chakorii yahaan ro ro mare ro ro mare haay chandaa gae parades	nainon se niir bahe munh se vo kuchh naa kahe chupake chupake gorii birahaa kii piid sahe	nainon se niir bahe munh se vo kuchh naa kahe chupake chupake gorii birahaa kii piid sahe	suuj gae hain ro ro ke saajan haay nainaa jo tum se lade chakorii yahaan ro ro mare ro ro mare haay chandaa gae parades 
chaah barbaad karegii hamen,shahjehan,1946,saigal,naushad,majrooh, chaah barbaad karegii hamen maaluum na thaa	 chaah barbaad karegii hamen maaluum na thaa	rote rote hii kategii hamen maaluum na thaa	rote rote hii kategii hamen maaluum na thaa	maut bhii ham pe hansegii hamen maaluum na thaa zindagii rog banegii hamen maaluum na thaa	maut bhii ham pe hansegii hamen maaluum na thaa zindagii rog banegii hamen maaluum na thaa	chaah barbaad karegii hamen maaluum na thaa	chhaayii ghanaghor ghataa chaand sitaare na rahe vah ummiiden na rahiin ab vah sahaare na rahe gair to gair hii the vah bhii hamaare na rahe hamape aisii bhii padegii hamen maaluum na thaa	chhaayii ghanaghor ghataa chaand sitaare na rahe vah ummiiden na rahiin ab vah sahaare na rahe gair to gair hii the vah bhii hamaare na rahe hamape aisii bhii padegii hamen maaluum na thaa	chaah barbaad karegii hamen maaluum na thaa
do zulmii nainaan maar gae,aai bahar,1946,s d batish,amarnath,d n madhok, do zulmii nainaan maar gae vo jiit gae ham haar gae main kaa karuun kuchh vo daren duniyaa se kuchh main daruun	zakamii dil le kar jaauun kahaan koii bole yaa hamen banaa le apanaa yaa meraa ho le jug jug vo jiien jag men aur main maruun kuchh vo daren duniyaa se kuchh main daruun do zulmii nainaan maar gae vo jiit gae ham haar gae main kaa karuun	ik rog niraalaa ham ne paalaa kayaa karuun bataa de koii sunne waalaa ro ro pukaare dil nainon ne maaraa sukh men katen din mere hai koii payaaraa jug jug vo jiien jag men aur main maruun kuchh vo daren duniyaa se kuchh main daruun do zulmii nainaan maar gae vo jiit gae ham haar gae main kaa karuun
duniyaa hamaare pyaar kii yuun hii javaan rahe,lahore,1949,latakaran divan,shyamsunder,rajinder krishan,	ka duniyaa hamaare pyaar kii yuun hii javaan rahe	la main bhii vahiin rahuun meraa saajan jahaan rahe2	la do din kii zindagii hai ise yuun guzaar de	la do din kii zindagii hai ise yuun guzaar de	ujadii huii ye pyaar kii raahen sanvaar de	ujadii huii ye pyaar kii raahen sanvaar de	ham tum yahaan rahe naa rahe is kaa gam nahiin	lekin hamaare pyaar kaa baakii nishaan rahe	main bhii vahiin rahuun meraa saajan jahaan rahe ka duniyaa hamaare pyaar kii yuunhii javaan rahe la main bhii vahii rahuun meraa saajan jahaan rahe	ka duniyaa men chhod jaayenge ham vo nishaaniyaan	ka duniyaa men chhod jaayenge ham vo nishaaniyaan	ban jaayengii jo pyaar kii miithii kahaaniyaan	ban jaayengii jo pyaar kii miithii kahaaniyaan	do duniyaa hamaare baad hamen yuun karegii yaad	do pyaar karane vaale hain par ek jaan rahe	main bhii vahiin rahuun meraa saajan jahaan rahe	duniyaa hamaare pyaar kii yuunhii javaan	rahe	main bhii vahiin rahuun meraa saajan jahaan rahe	duniyaa hamaare pyaar kii 
aaj koii hai aanewaala,shair,1949,suraiya,gulam mohammed,shakeel, aaj koii hai aanewaala	 aaj koii hai aanewaala	ho aanewaala kaun ye kyuun batalaauun ho ho ye kyuun batalaauun	ho aanewaala kaun ye kyuun batalaauun ho ho ye kyuun batalaauun	aaj koii hai aanewaala	jiiwan gaa re dil ye pukaare piyaapiyaa ho piyaapiyaa piyaapiyaa ho piyaapiyaa jiiwan gaa re dil ye pukaare piyaapiyaa ho piyaapiyaa	sudhbudh haare laaj ke maare moraa jiyaa ho moraa jiyaa	sudhbudh haare laaj ke maare moraa jiyaa ho moraa jiyaa	ho kaagaa bole kaagaa bole mere dwaar main dekhdekh muskaauun ho	aaj koii hai aanewaala ho aanewaala kaun ye kyuun batalaauun ho ho ye kyuun batalaauun	aaj koii hai aanewaala ho aanewaala kaun ye kyuun batalaauun ho ho ye kyuun batalaauun	aaj koii hai aanewaala	o aaj kisii kii aas lagii hai machal rahaa hai kushii se dil machal rahaa hai kushii se dil	o aaj kisii kii aas lagii hai machal rahaa hai kushii se dil machal rahaa hai kushii se dil	man meraa dole aur ye bole piyaa se mil ho piyaa se mil	man meraa dole aur ye bole piyaa se mil ho piyaa se mil	ho duniyaa naache duniyaa naache sangsang main jhuumjhuum ke gaauun ho	aaj koii hai aanewaala ho aanewaala kaun ye kyuun batalaauun ho ho ye kyuun batalaauun	aaj koii hai aanewaala ho aanewaala kaun ye kyuun batalaauun ho ho ye kyuun batalaauun	aaj koii hai aanewaala 
bahaaron ne jise chhedaa hai vo saajejavaanii hai,sunehre din,1949,mukesh,gyan dutt,shevan rizvi,	bahaaron ne jise chhedaa hai vo saajejavaanii hai zamaanaa sun rahaa hai jisako vo merii kahaanii hai bahaaron ne jise chhedaa	qasam khaa kar kisii ko jab apanaa banaauungaa chaman kii daaliyon se laaliyaan phuulon kii laauungaa sitaaron ke chiraagon se phir is ghar ko sajaauungaa ki is duniyaa men mujhako ik naii duniyaa basaanii hai bahaaron ne jise chhedaa	chaman men sabane hii gaayaa taraanaa zindagaanii kaa magar sabase alag thaa rang merii hii kahaanii kaa fasaanaa is qadar rangiin thaa merii javaanii kaa ki jisane bhii sunaa kahane lagaa merii kahaanii hai bahaaron ne jise chhedaa	koii samajhe naa samajhe main kahe detaa huun duniyaa se ki main duniyaa men huun matalab nahiin rakhataa huun duniyaa se kabhii kuchh dil men aataa hai to kah detaa huun duniyaa se merii aavaaz hii merii tamannaa kii nishaanii hai bahaaron ne jise chhedaa	
kisii se merii priit lagii ab kyaa karuun,eight days aath din 8 days 8 din,1946,meena kapoor,s d burman,g s nepali, haay kisii se merii priit lagii ab kyaa karuun	 haay kisii se merii priit lagii ab kyaa karuun	ab kyaa karuun re ab kyaa karuun kisii se merii priit lagii ab kyaa karuun	paaspados men paaspados men baajaa baje re dulahaa ke sang naii dulahan saje re main to badiibadii main badiibadii aankhon waalii dekhaa karuun	kisii se merii priit lagii ab kyaa karuun ab kyaa karuun re ab kyaa karuun kisii se merii priit lagii ab kyaa karuun	haay kisii se merii priit lagii ab kyaa karuun	solah baras kii main to kushabuu huun kas kii main to baankiimatawaalii main to pyaalii huun desii kii	chadhatii umar nahiin baat mere bas kii jawaanii mere bas kii nahiin jii mere bas kii haay more raamaa akelii yahaan padiipadii aahen bharuun	kisii se merii priit lagii ab kyaa karuun ab kyaa karuun re ab kyaa karuun kisii se merii priit lagii ab kyaa karuun	ab na rukuungii kiisii ke roke piihar chaluungii main piyaa kii ho ke doliyaa hiledole doliyaa hiledole main to baithii rahuun	kisii se merii priit lagii ab kyaa karuun ab kyaa karuun re ab kyaa karuun kisii se merii priit lagii ab kyaa karuun 
