Title,Film,Year,Singer,Composer,Lyricist,Lyrics
ghuunghat pat naahii kholuun,bhartruhari,1944,jahanara kajjan,khemchand prakash,pt indra, ghuunghat pat naahii kholuun mukh se kachhu naahii boluun nainan men kaun base kaise bhed kholuun raajaa  madhur madhur unake bain sun sun jiyaa parat chain ulajhe nit rahat nain man se man ko toluun raajaa  saj kar solah singaar lekar kaliyan kaa haar kab se priitam ke dwaar baawarii sii doluun raajaa
kuchh yaad rahe to sun kar jaa,jawab,1942,kanan devi,kamal dasgupta,pt madhur ,  kuchh yaad rahe kuchh yaad rahe to sun kar jaa haan kar jaa yaa naa kar jaa tuu haan kar jaa yaa naa kar jaa kuchh yaad rahe to sun kar jaa2 tuu haan kar jaa yaa naa kar jaa2  bhuul sake to bhuul hii jaanaa kyaa bhuulii huun bhuul bataanaa2 dard diyaa jo dard diyaa hai lekar jaa tuu haan kar jaa yaa naa kar jaa2  kyaa svapn rahegaa svapn jo dekhaa kaise bataauun kyaa kyaa dekhaa2 dekhuun kuchh tere dekhuun kuchh aisaa kar jaa tuu haan kar jaa yaa naa kar jaa2  tum paas the phir bhii duur rahe majabuur the ham majabuur rahe2 kyaa samjhuun main kyaa samajhuun samajhaakar jaa tuu haan kar jaa yaa naa kar jaa2 
bulbul aa tuu bhii gaa,shahenshah babar,1944,khursheed chorus,khemchand prakash,pt indra munshi sham munshi aziz,  bulbul aa tuu bhii gaa pyaar ke gaane main gaauun tuu bhii gaa  saaz bharaa hai gale men tere soz bharaa hai dil men mere  gaa gaa ke tuu jii bahalaaye main kyaa karuun tuu bataa tuu bataa bulbul aa aa pyaar ke gaane main gaauun tuu bhii gaa  jab pyaar dil men aataa to qaraar dil se jaataa sharamaanaa jhunjhalaanaa ghabaraanaa  ek raaz ke lakh bahaane phir bhii naa rahe chhupaa naa chhupaa bulbul aa aa pyaar ke gaane main gaauun tuu bhii gaa 
muhabbat par bahaar aatii,shayar,1949,lata,ghulam mohammad,shakeel, tere khayaal ko dil se lagaaye baithe hain ham intezaar kii duniyaa basaaye baithe hain  muhabbat par bahaar aatii2 jahaan gulzaar ho jaataa agar betaab nazaron ko2 teraa diidaar ho jaataa  mere dil kii khushii bankar agar tum saamane aate saamane aate to shaayad aankhon aankhon men2 koii ikaraar ho jaataa  milaa hai dil se dil  ye bhii sahaaraa kam nahiin mujhako kam nahiin mujhako nazaron se jab nazar milatii2 to bedepaar ho jaataa muhabbat par bahaar aatii2 jahaan gulzaar ho jaataa
naii dulhan naii dulhan,dr kotnis ki amar kahani,1946,jayashree,vasant desai,dewan sharar,    naii dulhan 2 main huun nanhii naii dulhan 2 din gin gin gin kar din din din 2 aaj banii huun naii dulhan naii dulhan 2 main huun nanhii naii dulhan 2  o merii maan 2 lage hai dar nayaa hai ghar 2  aayaa meraa dulhaa naa jaane kyaa hogaa 2 aayaa aayaa dhan dhan dhan thar thar thar thar kaanpe badan  naii dulhan 2 main huun nanhii naii dulhan 2  naa ghabaraa naa sharamaa sar to uthaa dekh zaraa kush ho jaa ai dulhan 2 tere ghar teraa dhan teraa sapanaa teraa apanaa ghar aayaa aayaa aayaa chham chham chham haan khil khil jaaye man kaa chaman  naii dulhan 2 main huun nanhii naii dulhan  o merii maan dekh ye chaand 2 meraa chaand meraa chaand jis se suuraj kii ho maat vohii hai jo raaton ko niind men aataa thaa jab saare so jaate mujh ko aan jagaataa thaa aayaa chaand meraa chaand shaan liye aan liye aayaa chaand meraa chaand aayaa aayaa chham chham chham haan  kushii kushii se naache dulhan naache dulhan 2  naii dulhan 2 main huun nanhii naii dulhan 2 
jiivan aashaa ye hai merii,zindagi,1940,saigal,pankaj mullick,aarzoo lakhnawi,  jiivan aashaa ye hai merii jiivan aashaa ye hai jitane sahaare chhuut chuke hain sabakaa sahaaraa ye hai merii jiivan aashaa ye hai 2  yahii hai merii saarii puunjii yahii sab yahii sab saramaayaa hai 2 aankho kii thandak man kii dhaadhas 2 aur annadaataa yah hai merii jiivan aashaa ye hai 2  ye hii yahii hai mujhako hiiraapanaa yahii hai motiimuungaa naam hai jisakaa ek duvannii saaraa kazaanaa yah hai  ye jo gaii to gayaa kazaanaa aas gaii aas gaii aur jaan gaii  2 saare sahaare saare sahaare tuut na jaaen dil ko dhadaa ye hai 2 jiivan aashaa threedots 
sun le tuu merii iltijaa,nek parvin,1946,zeenat begum,firoz bizami,wahid qureshi, sun le tuu merii iltijaa sun le kudaa merii duaa  lambaa safar hai zindagii ham do musaafir ajanabii bhuul naa jaayen raasataa     sun le kudaa threedots  ham ko tuu kar de ek jaan ghar ko banaa de gulasitaan tujhako nabii kaa waasataa     sun le kudaa threedots  jhuule kushii ke jhuulen ham paas naa aaye koii gam tuu meharabaan rahe sadaa     sun le kudaa threedots
chaandanii raat hai haay kyaa baat hai  mere bhole piyaa,chandni raat,1949,uma devi chorus,naushad,shakeel,  ko 	 chaandanii raat hai 	haay kyaa baat hai 	dekho jii dekho jii dekhodekho jii  3 u 	ho  u 	mere bhole piyaa 	o mere bhole piyaa 	o bhuul jaiyo na priit lagaa ke ko 	mere bhole piyaa 	o mere bhole piyaa 	o bhuul jaiyo na priit lagaa ke  u 	hai ye duniyaa paapii ko 	hai ye duniyaa paapii u 	ro ke kahe ye moraa jii ko 	ro ke kahe ye moraa jii 	moraa jii u 	kahiin nagarii naa dil kii ujad na jaaye merii 	jaavo naa aankh churaa ke ko 	kahiin nagarii naa dil kii ujad na jaaye merii 	jaavo naa aankh churaa ke  ko 	 chaandanii raat hai 	haay kyaa baat hai 	dekho jii dekho jii dekhodekho jii  2 u 	ho  u 	maano merii baat balam ko 	maano merii baat balam u 	dekho nikal jaaye na dam ko 	dekho nikal jaaye na dam u 	aaj mere nanhen se dil pe nahiin dhaavo sitam 	birahaa ke tiir chalaa ke ko 	o 	aaj mere nanhen se dil pe nahiin dhaavo sitam 	birahaa ke tiir chalaa ke  u 	mere bhole piyaa 	o mere bhole piyaa 	o bhuul jaiyo na priit lagaa ke ko 	mere bhole piyaa 	o mere bhole piyaa 	o bhuul jaiyo na priit lagaa ke  ko 	 chaandanii raat hai 	haay kyaa baat hai 	dekho jii dekho jii dekhodekho jii  3 u 	ho 
kushiyaan manaaen kyon naa ham,khidki,1948,shamshad mohantara lata chorus chitalkar rafi g m sajan chorus,c ramchandra,p l santoshi, prem latastanza 1 rajkumaristanza 2 shamshad stanza 3  kushiyaan manaaen kyon na ham ham kisii se kyon daren qisamat hamaare saath hai jalane vaale jalaa karen ho daddaan daddaan daddaan daddaan daddaan daddaan daddaa ddaan  mard hain to is liye ki kidmat karen vo aurton kii haq to chaahate hain magar apanaa haq to adaa karen qisamat hamaare saath hai jalane vaale jalaa karen ho daddaan daddaan daddaan threedots  naazuk hain vo kalaaiyaan patlii kamar men bal paden ajii sau dedh sau bal paden chalane men moch aae gii parde men vo rahaa karen qisamat hamaare saath hai jalane vaale jalaa karen ho daddaan daddaan daddaan threedots  jalaa karen maraa karen galaa karen sadaa karen jalaa karen maraa karen galaa karen sadaa karen apanii manahuus shakal le ham ko na vo dikhaa karen qisamat hamaare saath hai jalane vaale jalaa karen ho daddaan daddaan daddaan threedots   kushiyaan manaaen kyon na ham ham kisii se kyon daren qisamat hamaare saath hai jalane vaale jalaa karen ho daddaan daddaan daddaan daddaan daddaan daddaan daddaa ddaan  dekho to unakii shokiyaan ham se karen muqaabalaa unase kaho ke roz vo duudh aur ghii piyaa karen qisamat hamaare saath hai jalane vaale jalaa karen ho daddaan daddaan daddaan threedots  naazuk hain vo kalaaiyaan patlii kamar men bal paden ajii sau dedh sau bal paden chalane men moch aae gii parde men vo rahaa karen qisamat hamaare saath hai jalane vaale jalaa karen ho daddaan daddaan daddaan threedots  jalaa karen maraa karen galaa karen sadaa karen jalaa karen maraa karen galaa karen sadaa karen apanii manhuus shakal le ham ko naa vo dikhaa karen qisamat hamaare saath hai jalane vaale jalaa karen ho daddaan daddaan daddaan threedots
mere dil men koii na aaye,kajal,1948,suraiya,gulam mohammed,,  mere dil men koii na aaye aaye naa mere dil men mere dil men koii na aaye ke nanhaa moraa naazuk dil haay re haay re  2  mujhe kisii ne kahaa thaa ulafat na kisii se karanaa 2 badaa buraa hai zamaanaa daranaa 2 par kyaa karuun jiyaa jaaye 2 ab dil men koii bal khaaye haay re mere dil men ab dil men koii bal khaaye ke nanhaa moraa naazuk dil haay re haay re   more nainon men piyaa more nainon men piyaa kaajal jal musakaaye  2 mainne jhat se aankh band kar lii kahiin na jaaye 2 dil naache hai aur gaaye 2 koii jaa ke unhen le aaye haay re koii jaa ke koii jaa ke unhen le aaye ke nanhaa moraa naazuk dil haay re haay re  mere dil men koii na aaye aaye naa mere dil men mere dil men koii na aaye ke nanhaa moraa naazuk dil haay re haay re 
ai aankh ab naa ronaa ronaa to umr bhar hai,sipahiya,1949,lata chitalkar,c ramchandra,rammurti chaturvedi, lataa  ai aankh ab naa ronaa ronaa to umr bhar hai       pii jaae aansuon ko bas vo jigar jigar hai       ai aankh ab threedots  chitalakar  bedard zamaanaa yaa bedard merii qismat           mil kar bhii mil naa paaen ummiid pe guzar hai lataa      ai aankh ab threedots  lataa  aankhon men aa ke thaharo yaa dil men aa ke thaharo       ye bhii tumhaaraa ghar hai vo bhii tumhaaraa ghar hai       ai aankh ab threedots  donon  ham dil to apanaa pahale hii tum ko de chuke hain lataa  ik jaan rah gaii hai to vo bhii ab nazar hai       ai aankh ab threedots
mahak rahii phulawaarii hamarii,doctor,1941,pankaj mullick,pankaj mullick,,  hai mahak rahii phulawaarii hamarii mahak rahii phulawaarii jhuum rahii hai daariidaarii daariidaarii mahak rahii phulawaarii hamarii mahak rahii phulawaarii  teziitezii chalii  teziitezii chalii hawaayen phuulphal bikharaaye  2 man aashaa kaa ped sukhaayaa dukh par dukh pahonchaaye meraa banataa kaam naa bigadaa maut bhii thak ke haarii  mahak rahii phulawaarii hamarii mahak rahii phulawaarii  sukh ke baadal sukh ke baadal phir ghir aaye bigadaa kaam banaayaa jiiwanjal ne barasbaras ke dayaa damaa palataayaa  phir se mahakii phir se lahakii 2 suukhii huii har kyaarii  mahak rahii phulawaarii hamarii 2 mahak rahii phulawaarii 
nagarii merii kab tak  ai chaand ummidon ko  aavaaz do insaaf ko,man ki jeet,1944,sitara kanpuri,s k pal,josh malihabadi, nagarii merii kab tak yuun hii barabaad rahegii duniyaa a duniyaa yahii duniyaa hai to kyaa yaad rahegii nagarii merii kab tak yuun hii barabaad rahegii  aakaash pe nikharaa huaa hai chaand kaa mukhadaa bastii men gariibon kii andhere kaa hai dukhadaa duniyaa a duniyaa yahii duniyaa hai to kyaa yaad rahegii nagarii merii threedots  kab hogaa saveraa kab hogaa saveraa koii ai kaash bataa de kis vaqt tak ai ghuumate aakaash bataa de insaanon par insaan kii bedaad rahegii  kahakaaron se kaliyon ke chaman guunj rahaa hai jharanon ke madhur raag se ban guunj rahaa hai par meraa to par meraa to par meraa to fariyaad se man guunj rahaa hai par meraa to fariyaad se man guunj rahaa hai kab tak mere honthon pe ye fariyaad rahegii nagarii merii threedots ai chaand ummiidon ko merii shammaa dikhaa de ai chaand ummiidon ko merii shammaa dikhaa de duube hue khoe hue suuraj kaa pataa de rote hue jug biit gayaa ab to hansaa de ai mere himaalaa mujhe ye baat bataa de ai mere himaalaa mujhe ye baat bataa de hogii merii bastii bhii kabhii kair se aabaad nagarii merii barabaad hai barabaad hai barabaad barabaad hai barabaad nagarii merii threedots  jo aankh kaa aansuu hai jo aahon kaa dhuaan hai jo aankh kaa aansuu hai jo aahon kaa dhuaan hai vaarii meraa dil us pe nichhaavar merii jaan hai mujarim huun gunaahagaar huun us ko ye gumaan hai aavaaz do insaaf ko insaaf kahaan hai aavaaz do insaaf ko insaaf kahaan hai ik bekasomajabuur pe ye zulm ye bedaad nagarii merii barabaad hai barabaad hai barabaad barabaad hai barabaad nagarii merii threedots
bedard zamaane kyaa terii,lahore,1949,lata,shyamsundervinod ,rajinder krishan, us dil kii qismat kyaa kahiye us dil kii qismat kyaa kahiye jis dil kaa sahaaraa koii nahiin  bedard zamaane kyaa terii bedard zamaane kyaa terii mahafil men hamaare koii nahiin2 bedard zamaane  is gam kii raat ke aanchal menvaise to hazaaron taare hain vaise to hazaaaron taare hain2 banajaaye jo aas musaafir kii banajaaye jo aas musaafir kii aisaa hii sitaaraa koii nahiin bedard zamaanethreedots  ulfat ke chaman men aii naadaan ulfat ke chaman men aii naadaan kyuun dhuundh rahaa hai kaliyon ko yahaan gam ke kaante uthatechubate hain yahaan gam ke kaante uthate hain phuulon kaa nazaaraa koii nahiin bedard zamaanethreedots
kyaa ye hii jawaanii hai,chand,1944,zeenat begum,husnalalbhagatram,qamar jalalabadi,  o kyaa ye hii jawaanii hai 2 har din hai nikharaa huaa 2 har raat suhaanii hai 2 kyaa ye hii jawaanii hai 2  main gairon se kyuun puuchhuun  main gairon se kyuun puuchhuun main apanon se kyuun puuchhuun  2 aaiinaa jo kahaa hai 2 tuu husn kii raanii hai 2 kyaa ye hii jawaanii hai 2   kyaa kahuun ke kaun aa kar kyaa kahuun ke kaun aa kar sapanon men bulaataa hai  2 khulate hii merii aankhen 2 jaane kahaan jaataa hai 2 ye merii kahaanii hai 2 kyaa ye hii jawaanii hai 2  jaate huye bachapan se  jaate huye bachapan se aate huye jauvan se  2 donon se main kahatii huun 2 ye dil kii naii hai duniyaa 2 ab kaise basaanii hai 2 kyaa ye hii jawaanii hai 2 
ham aisii qisamat ko  ek din hansaaye,kismat,1943,arun kumar amirbai,anil biswas,pradeep,     amii 	ham aisii qisamat ko kyaa karen haay haay 	ke jo ek din hansaaye ek din rulaaye 	ek din hansaaye ek din rulaaye 	 	qisamat hamaarii hamiin ko sataaye haay 	ke jo ek din hansaaye ek din rulaaye 	ek din hansaaye ek din rulaaye 	 aru 	duniyaa men pahalepahale jab wo aayii 	qisamat jo aayii 	to phuulon ke sangsang kaante bhii laayii 	ham sab ke aangan men aise bichhaaye haay 	ke jo ek din hansaaye ek din rulaaye 	ek din hansaaye ek din rulaaye 	 amii 	rone kaa din hai main gaatii huun gaanaa 	dukh bhuulane kaa hai ye ek bahaanaa 	kahatii huun main dil ke tukadon se haay 	baithe raho apanaa dukhadaa chhupaaye 2 	duniyaa kii riit bhii kaisii hai haay 	ke jo ek din hansaaye ek din rulaaye 	ek din hansaaye ek din rulaaye  aru 	aa 	jo kuchh bhii aataa hai aane de bande 2 	jo kuchh bhii jaataa hai jaane de bande 	jo kuchh bhii aataa hai aane de bande 	duniyaa men sukhdukh ke do din hain haay 	ke jo ek din hansaaye ek din rulaaye 	ek din hansaaye ek din rulaaye 	ek din do 	hansaaye ek din rulaaye 
ik tuu ho ik main huun,qanoon,1943,suraiyya,naushad,d n madhok,  ik tuu ho ik main huun  aur nadii kaa kinaaraa ho samaa  pyaaraa pyaaraa ho ho ho ho ho ho ho huun  dil kii baat labon pe aaye haay labon pe aaye kahii naa jaaye aankhon kaa ishaaraa ho aur koii na chaaraa ho ho ho ho ho ho ho huun ik tuu ho  puurab se ik baadal aaye haay aa ke chandaa par chhaa jaaye dhiimaa saa andhiyaaraa ho haath men haath tumhaaraa ho ho ho ho ho ho ho huun ik tuu ho 
jaago musaafir jaago,raj laxmi,1945,talat,robin chatterjee dhiren mitra,suresh chowdhury,   jaago musaafir jaago jaago musaafir jaago kholo man kaa dvaar jaago musaafir jaago   jaag uthaa hai aalam saaraa jaag uthaa hai aalam saaraa prem kii aayii pukaar jaago musaafir jaago   aaye saathii unhen bulaa lo dil se dil ko aaj milaa lo aaye saathii unhen bulaa lo dil se dil ko aaj milaa lo aaye saathi aaye saudaa kar lo hansii khushii kaa jag se kar lo pyaar jaago musaafir jaago   milake yahaan pe bichhad jo jaayen koii koii to phir mil jaayen milake yahaan pe bichhad jo jaayen koii koii to phir mil jaayen jiivan kii is raah pe koii jiivan kii is raah pe koii aataa ek hii baar aataa ek hii baar jaag uthaa hai aalam saaraa prem kii aayii pukaar jaago musaafir jaago   ajab tamaashaa vo dikhalaataa ajab tamaashaa ajab tamaashaa vo dikhalaataa jod kisii se kisii kaa naataa jod kisii se kisii kaa naataa koii na jaane kaun taar men vo koii na jaane kaun taar men vo baandhe kaun saa taar jaago musaafir jaago kholo man kaa dvaar jaago musaafir jaago  
tuu mahal men rahane vaalii  bataa phir teraameraa,shabnam,1949,mukesh shamshad,s d burman,qamar jalalabadi,  mu 	tuu mahal men rahane vaalii main kutiyaa men rahane vaalaa 	bataa phir teraameraa pyaar kyaa 	tuu aasamaan kaa taaraa main ik zarraa bechaaraa 	bataa phir teraameraa pyaar kyaa  sha 	mere dil men pyaar kii aag piyaa haay  lagii rahii  3 	main khol ke khidakii mahal kii haay re  khadii rahii  3 mu  	tuu hansatii khadii us paar merii naav biich majhadhaar 	bataa phir threedots  sha 	terii miithiimiithii yaad mere dil men haay re haay  aatii rahii  3 	merii bhiigiibhiigii ankhhiyon se nindiyaa haay re haay  jaatii rahii  3 mu  	terii jhuuthii hai har baat tuu chhod gaii meraa saath 	bataa phir threedots  sha 	jab rimajhimrimajhimrimajhim barakhaa haay re haay  hotii rahii  3 	main saavan ke baadalon ke sangsang haay re haay  rotii rahii  3 mu  	tuu khel samajh kar rotii tere aansuu mahal ke motii 	bataa phir threedots 
