Title,Film,Year,Singer,Composer,Lyricist,Lyrics
main tujhase milane aaii mandir jaane ke bahaane,heeraa,1973,rafi lata,kalyanjianandji,indeevar,	la	main tujhase milane aaii mandir jaane ke bahaane	main tujhase milane aaii mandir jaane ke bahaane	baabul se jhuuth bolii sakhiyon se jhuuth bolii	main ban gaii bilkul bholii ra	are o bholii tuu jhuuth nahiin bolii tuu jhuuth kahaan bolii	pyaar ko hii puujaa kahate hain pyaar ke paravaane la	main tujhase milane	ra	ho aankhon men jab terii suurat phir koii muurat kyaa hai	pyaar kiyaa hai jisane use puujaa kii zaruurat kyaa hai la	maine saaraa jiivan kar diyaa tujhako arpan	ho gaii main terii miiraa tujhako maan liyaa mohan	na jaane kyaa dekhaa tujhamen nain hue diivaane la	main tujhase milane	la	ho gair ke haath men naa de den kahiin baabul merii bainyaa	chaal samay kii pahachaano tum kud ko badalo sainyaa ra	kisamen itanaa hai bal chhuu le jo teraa aanchal	tuu hamaarii hogii apanaa daavaa hai atal	mod den ham to samay kii dhaaraa aise hain mastaane la	main tujhase milane	
sunii jo unake aane kii aahat,satyam shivam sundaram,1978,lata chorus,laxmikantpyarelal,narendra sharma, sunii jo unake aane kii aahat gariibakaanaa sajaayaa hamane qadam mubaarak hamaare dar pe nasiib apanaa jagaayaa hamane	huii hai aamad kushaamadiidam ye kahanaa dil ko sikhaayaa hamane khile hain aashaa ke phuul man men ye raaz unase chhupaayaa hamane	vo apane netaa ham unakii janataa hameshaa naataa nibhaayaa hamane ye terii rahamat ai mere maalik gumaan nahiin thaa vo paayaa hamane	sunii jo unake 
dil ke tukade tukade karake muskuraate chal diye,dada,1978,yesudas,usha khanna,kulvant jani, dil ke tukade tukade karake	muskuraate chal diye	muskuraate chal diye	jaate jaate ye to bataa jaa ham jiyenge kisake liye dil ke tukade tukade karake muskuraate chal diye	chaand bhii hogaa taare bhii honge duur chaman men pyaare bhii honge lekin hamaaraa dil na lagegaa bhiigegii jab jab raat suhaanii aag lagaaegii ritu mastaanii tuu hii bataa koii kaise jiyegaa dil ke maaron ko dil ke maalik thokar lagaa ke chal diye dil ke tukade	ruuthe rahenge aap jo hamase mar jaaenge ham bhii kasam se sunale haath chhudaane se pahale jaan hamaarii naam pe terii jaaegii jis din dilabar merii soch samajh le jaane se pahale yuun agar tum dil kii tamannaa ko mitaake chal diye dil ke tukade 
ek daal par totaa bole ek daal par mainaa,chor machaaye shor,1974,rafi lata,ravindra jain,indrajeet singh tulsi,	ra	ek daal par totaa bole	ek daal par totaa bole	ek daal par mainaa	duurduur baithe hain lekin pyaar to phir bhii hai naa	bolo hai naa hai naa hai naa	la	o o o o ek daal par totaa bole ek daal par mainaa	main tere nainon kii nindiyaa tuu mere dil kaa chainaa	bolo hai naa hai naa hai naa do	ek daal par totaa bole	la	ye kyaa mujhako ho gayaa saajan kabhii rouun kabhii gaauun	ped se lipatii bel jo dekhuun laaj se marmar jaauun ra	ye paagalapan kaisaa kab se ho gayaa aisaa la	bin batalaae samajho saajan aaj nahiin kuchh kahanaa	bolo hai naa hai naa hai naa do	ek daal par totaa bole	ra	aandhii aae tuufaan aae yaa barasen barasaaten	ik duuje ke ho jaaen ham katm na ho dinraaten la	katm na ho dinraaten	katm na ho dinraaten	miithii pyaar kii baaten	miithii pyaar kii baaten	ra	honth agar kaamosh rahen to bol uthenge nainaa	bolo hai naa hai naa hai naa do	ek daal par totaa bole	la	janamjanam kii pyaas re saajan pal men bujhegii kaise	jiivan bhar ye sang na chhuute ang lagaa lo aise ra	aa mil jaaen aise saagar nadiyaa jaise do	siikh liyaa hai pyaar men hamane mitakar zindaa rahanaa	bolo hai naa hai naa hai naa	ek daal par totaa bole	
din taakaa taakaa din  a aa i ii a aa i ii maastarjii kii aa gaii chitthii,kitaab,1977,shivangi kolhapure padmini kolhapure,r d burman,gulzar,	din taakaa taakaa din	din taakaa taakaa din	a aa i ii a aa i ii maastarjii kii aa gaii chitthii chitthii men se nikalii billii chitthii men se nikalii billii	a aa i ii a aa i ii maastarjii kii aa gaii chitthii chitthii men se nikalii billii chitthii men se nikalii billii	billii khaay zardaa paan kaalaa chashmaa piilii kaan	billii khaay zardaa paan kaalaa chashmaa piilii kaan	aahaa a aa i ii a aa i ii maastarjii kii aa gaii chitthii chitthii men se nikalii billii chitthii men se nikalii billii	din taakaa taakaa din	din taakaa taakaa din	kaan men jhumkaa naak men battii	kaan men jhumkaa naak men battii	haath men jaise agarbattii nahiin magarbatti agarbattii magarbattii agar agarbatti	agar ho battii kachhuaa chaap aag pe baithaa paanii taap	agar ho battii kachhuaa chaap aag pe baithaa paanii taap	taap chadhe to kambal taan vii aaii pii	vii aaii pii underwear baniyaan	vii aaii pii underwear baniyaan	din taakaa taakaa din	din taakaa taakaa din	a aa i ii a aa i ii maastarjii kii aa gaii chitthii chitthii men se nikalaa machchhar chitthii men se nikalaa machchhar	a aa i ii a aa i ii maastarjii kii aa gaii chitthii chitthii men se nikalaa machchhar chitthii men se nikalaa machchhar	machchhar kii do lambii muunchhen muunchh pe baandhe do do patthar	machchhar kii do lambii muunchhen muunchh pe baandhe do do patthar	patthar pe ek aam kaa jhaad muunchh pe lekar chalaa pahaad pahaad pe baithaa buudhaa jogii jogii kii ek jogan hogii	gatharii men laagaa chor musaafir dekh chaand kii or	pahaad pe baithaa buudhaa jogii jogii kii ek jogan hogii jogan kuute kachchaa dhaan vii aaii pii	vii aaii pii underwear baniyaan	vii aaii pii underwear baniyaan	din taakaa taakaa din	din taakaa taakaa din	a aa i ii a aa i ii maastarjii kii aa gaii chitthii chitthii men se nikalaa chiitaa chitthii men se nikalaa chiitaa	a aa i ii a aa i ii maastarjii kii aa gaii chitthii chitthii men se nikalaa chiitaa chitthii men se nikalaa chiitaa	thodaa kaalaa thodaa piilaa chiitaa nikalaa hai sharmiilaa thodaathodaa kaalaa thodaathodaa piilaa chiitaa nikalaa hai sharmiilaa	are waa waa chaal dekho	ghunghat daal ke chalataa hai maang men sinduur bharataa hai maathe roz lagaaye bindii	if agar is hai but par what matalab kyaa	maathe roz lagaaye bindii hindii men algebra chaan	vii aaii pii underwear baniyaan	vii aaii pii underwear baniyaan	saawadhaan 
hai priit jahaan kii riit sadaa,poorab aur paschim,1970,mahendra kapoor,kalyanjianandji,indeevar, jab ziiro diyaa mere bhaarat ne	bhaarat ne mere bhaarat ne	duniyaa ko tab ginatii aayii	taaron kii bhaashhaa bhaarat ne	duniyaa ko pahale sikhalaayii	detaa na dashamalav bhaarat to	yuun chaand pe jaanaa mushkil thaa dharatii aur chaand kii duurii kaa andaaz lagaanaa mushkil thaa	sabhyataa jahaan pahale aayii pahale janamii hai jahaan pe kalaa	apanaa bhaarat jo bhaarat hai	jisake piichhe sansaar chalaa sansaar chalaa aur aage badhaa jyuun aage badhaa badhata hii gayaa	bhagavaan kare ye aur badhe	badhataa hii rahe aur phuulephale	madanapuri chup kyon ho gaye aur sunaao	hai priit jahaan kii riit sadaa	main giit vahaan ke gaataa huun bhaarat kaa rahane vaalaa huun	bhaarat kii baat sunaataa huun	kaalegore ka bhed nahiin	har dil se hamaaraa naataa hai	kuchh aur na aataa ho hamako	hamen pyaar nibhaanaa aataa hai	jise maan chukii saarii duniyaa	main baat vohii doharaataa huun	bhaarat kaa rahane vaalaa huun	bhaarat kii baat sunaataa huun	jiite ho kisiine desh to kyaa hamane to dilon ko jiitaa hai	jahaan raam abhii tak hai nar men	naarii men abhii tak siitaa hai	itane paavan hain log jahaan	main nitnit shiish jhukaataa huun	bhaarat kaa rahane vaalaa huun	bhaarat kii baat sunaataa huun	itanii mamataa nadiyon ko bhii	jahaan maataa kahake bulaate hai	itanaa aadar insaan to kyaa patthar bhii puuje jaaten hai	is dharatii pe mainne janam liyaa	ye soch ke main itaraataa huun	bhaarat kaa rahane vaalaa huun	bhaarat kii baat sunaataa huun 
raat piyaa ke sang jaagii re sakhii,prem parbat,1973,minoo purshottam,jaidev,jaan nisar akhtar,	raat piyaa ke sang jaagii rii sakhii raat piyaa ke sang jaagii rii sakhii chain padaa jo ang laagii rii sakhii raat piyaa ke sang	sainyaanjii ne jaaduu pheraa sainyaanjii ne jaaduu pheraa baahon kaa daalaa gheraa karake zaraa andheraa ancharaa jo khainchaa meraa god piyaa kii tang laagii rii sakhii god piyaa kii tang laagii rii sakhii chain padaa jo ang laagii rii sakhii raat piyaa ke sang	sainyaanjii ne daakaa daalaa sainyaanjii ne daakaa daalaa ulajhaa laton men baalaa bikharii gale kii maalaa ah bhadakii badan kii jwaalaa devadhanush rang laagii rii sakhii devadhanush rang laagii rii sakhii chain padaa jo ang laagii rii sakhii raat piyaa ke sang	gajaraa suhaanaa tuutaa gajaraa suhaanaa tuutaa kajaraa nayan kaa chhuutaa sab tan bhayaa re jhuutaa jitanaa sataayaa luutaa aur bhii baanke ang laagii rii sakhii aur bhii baanke ang laagii rii sakhii tan kii chhupii tarang jaagii rii sakhii tan kii chhupii tarang jaagii rii sakhii chain padaa jo ang laagii rii sakhii raat piyaa ke sang 
phir vahii raat hai,ghar,1978,kishore,r d burman,gulzar, phir vahi raat hai	phir vahi raat hai phir vahi raat hai khvab ki	ho	raat bhar khvab main	dekhaa karenge tumhe	phir vahi raat hai	masum si nind main jab koi sapana chale	ho	ham ko bulaa lenaa tum palakon ke parde tale	ho ye raat hai khvab ki khvab ki raat hai	phir vahi raat hai	phir vahi raat hai	phir vahi raat hai khvab ki	kanch ke khvab hain ankhon men chubh jayenge	ho	palakon pe lenaa inhen ankhon men ruk jayenge	ho	ye raat hai khvab ki khvab ki raat hai	phir vahi raat hai phir vahi raat hai	phir vahi raat hai khvab ki	phir vahi raat hai	raat hai	hmmmm hmmm hmmmm	raat hai 
ai bhuul gae tum hamako yaad nahiin kyaa tumako,darling darling,1977,kishore asha,r d burman,anand bakshi,	ai bhuul gae tum hamako yaad nahiin kyaa tumako are kal mile the ham tumhen aaj phir milanaa thaa are mulaakaat ek raat kii raat raat gaii baat gaii ho raat gaii baat gaii sab gae	roz nae pyaar kaa nayaa daur zindagaanii naii dekhkar ham nikale bevafaa harajaaii kal mile the hamtum sab jazbaat kii ik raat kii raat raat gaii baat	aaj hamaaraa bhii pyaar puraanaa huaa guru maaf karanaa ek suurat dekhate zamaanaa huaa maaf karanaa bevafaaii tumase siikh lii hamane bhii kal mile the hamtum raat gaii baat	
alabelaa re alabelaa re ruk jaanaa,raampur ka lakshman,1972,lata,r d burman,majrooh,	alabelaa re alabelaa re ruk jaanaa dil todake tuu kahaan jaataa hai	alabelaa re alabelaa re ruk jaanaa dil todake tuu kahaan jaataa hai	alabelii huun main bhii terii diiwaanii zaalim tuune merii qadar naa jaanii o re gaanv ke chhailaa tujhe qasam hai hathuaa jode tohe morii jawaanii ru ru ru ruu ruu ruu ru ru ru ru ruu ru ru ru haay haay kyon tadapaataa hai alabelaa re alabelaa re ruk jaanaa dil todake tuu kahaan jaataa hai	kahataa thaa jaanuun jii pe khel jaanaa re sau pe bhaarii huun main aaye zamaanaa re matawaalaa ban aayaa thaa pyaar karane mauqaa jab aayaa dar gayaa diiwaanaa la la la laa laa laa la la la la laa la la la haay kaisaa ghabaraataa hai alabelaa re alabelaa re ruk jaanaa dil todake tuu kahaan jaataa hai	aaya chorii karane labon kii laalii laalii kaisii kud ne nazar churaa lii buddhuu buzadil jhuuthe nahiin rukegaa ruk jaa waranaa duungii hazaar gaalii ru ru ru ruu ruu ruu ru ru ru ru ruu ru ru ru haay phir bhii chalaa jaataa hai alabelaa re alabelaa re ruk jaanaa dil todake tuu kahaan jaataa hai	alabelaa re alabelaa re ruk jaanaa dil todake tuu kahaan jaataa hai 
