Title,Film,Year,Singer,Composer,Lyricist,Lyrics
pahalii nazar men darii thii  thanks baabuu,road,2002,mohit chauhan sunidhi chauhan,sandesh shandilya,makarand deshpande, pahalii nazar men darii thii duusarii men bhii dar gaii re sisakii men jo saans bharii thiii shaq se mujh ko bhar gaii re dikhaaii vo pistaul kiye the jis ne tukade mere mar mar ke jiyaa thaa sadamon ne daale the ghere bhar gaii is kii aankhen sun ke aankh michaulii ho gaii re	aashiq thaa main paison kaa asalii nakalii cheharon kaa khuun bhare dhabbon kaa bhuuton ke shaharon kaa rang ke narak kaa ulate sulate faisalon kaa baabuu kahaan hai tuu vo vo vo le jaa rahaa hai mujhe baabuu nikal jaa na tuu chhudaa na tuu mere dil kaa hai fasaanaa tuu pahalii nazar men	dushman thaa main apanon kaa dushman thaa sapanon kaa dushman thaa suuraj kaa dushman thaa khushiyon kaa naa dar nahiin naa ghar nahiin duhkh dard kaa raahii thaa baabuu kasam hai tujh ko dekh tuu hii hai meraa mard tuu hai jahaan vo hii meraa saaraa jahaan ik jaan hain ham ek jaan kasam tujhe hai road kii kasam pahalii nazar men	
aahe dhol baje raat saje,kehtaa hai dil baar baar,2002,udit narayan kavita subtamaniam,jatin lalit,sameer, aahe dhol baje raat saje guunjen shahanaaiiyaan bhii are chunarii ude dulhan kii chheden puravaaiiyaan bhii haay guunjen shahanaaiiyaan bhii o chheden puravaaiiyaan bhii are dhol baje	dhol baje raat saje ho	nainon ko nainaa chhedate hain karate hain baaten pyaar kii o ye dil diivaanaa jaanataa hai marzii diivaane yaar kii haay jaagen angadaaiiyaan bhii	o guunjen shahanaaiiyaan bhii dhol baje raat saje ho	man se man kii dor baandhii aaj garabe men jhuum ke ho aae re aae din khushii ke ham to naachenge jhuum ke ho hansen anganaaiiyaan bhii ho miten tanhaaiiyaan bhii dhol baje	
gam hai kyuun har khushii kam hai kyuun ye bataa,hamaaraa dil aapke paas hai,2000,udit narayan,sanjeev darshan,javed akhtar, gam hai kyuun har khushii kam hai kyuun ye bataa har ghadii aankh bhii nam hai kyuun ye bataa tuune kis jurm kii paaii ye sazaa ho dard se dil kaa sangam hai kyuun ye bataa tuune kis jurm kii	tujhape jo sitam huaa duusaron kaa paap thaa isamen dosh hai teraa kyaa jisape zulm ho gayaa usako hii mile sazaa kis kitaab men hai likhaa tuu kyuun odhe sar par ilzaamon kii chaadar jabake hai tuu hii nirdosh yahaan ye bataa o o o o gam hai kyuun	naarii jo bhii ho sahe sar jhukaae chup rahe ye rivaaz hai duniyaa kaa tuu ye riit chhod de tuu ye rasm tod de ye ilaaz hai duniyaa kaa kyuun aansuu piitii hai kyuun duhkh men jiitii hai kyuun aankhon men gam kaa hai dhuaan ye bataa o yo o o gam hai kyuun	
ham yaar hain tumhaare  ham pyaar hain tumhaare  haan maine bhii pyaar kiyaa hai,haan maine bhi pyaar kiya,2002,udit narayan alka yagnik kumar sanu alka yagnik,nadeem shravan,sameer, ham yaar hain tumhaare diladaar hain tumhaare ham se milaa karo koii shikavaa agar ho aur shikaayat agar ho ham se gilaa karo jaan maine bhii pyaar kiyaa hai haan maine bhii pyaar kiyaa hai	ham pyaar hain tumhaare diladaar hain tumhaare ham se milaa karo o ham se milaa karo koii shikavaa agar ho aur shikaayat agar ho ham se gilaa karo o ham se gilaa karo jaan maine bhii pyaar kiyaa hai haan maine bhii pyaar kiyaa hai ham yaar hain tumhaare	zulfon ko giraa ke palakon ko jhukaanaa siikhaa hai kahaan se ye jaaduu chalaanaa aataa hai tumhen to yuun baaten banaanaa jaao jii hato bhii chhodo yuun sataanaa chhaa rahii hai khumaarii badh rahii hai bekaraarii yuun na hansaa karo o koii shikavaa agar ho	ho ho ho o ho ho ho diivaanon ke jaise karate ho sharaarat ham ko to pataa hai tere dil kii haqiikat samajho na zaraa tum mausam kaa ishaaraa aise to akele na hogaa guzaaraa aise aahen bharo naa mastiyaan yuun karo naa zid na kiyaa karo koii shikavaa agar ho	aa aa an uu uu uu ham pyaar hain tumhaare diladaar hain tumhaare ham se milaa karo koii shikavaa agar ho aur shikaayat agar ho ham se gilaa karo par tum milaa karo jaan maine bhii pyaar kiyaa hai haan maine bhii pyaar kiyaa hai ham yaar hain tumhaare	huun huun	kaise main bhulaa duun vo biite hue pal har lamhaa sataae vo gujaraa huaa kal kaise main bataauun ye mushkil raaz hai kal aae naa kabhii jo hai vo aaj hai merii jaan paas aa ke bol do muskuraa ke chup na rahaa karo koii shikavaa agar ho	aa phuulon kii vaadiyaan barfiile raaste hain jaanetamannaa sab tere vaaste phuulon men hai chubhan sardii men agan hai saanson men raat din ye kaisii jalan hai he he he he he he he haa haa haa haa he he he he sard thandii havaaen kah rahii hain fizaaen yuun na jalaa karo koii shikavaa agar ho 
dil hii dil men  meraa kanganaa jhaanjhar,krodh blast of anger,2000,abhijit alka yagnik chorus,anand milind,dev kohli, dil hii dil men pyaar kii baaten kab tak unhen chhupaaegii kar le tuu ikaraar pyaar kaa varanaa pakadii jaaegii	meraa kanganaa jhaanjhar chuudii khan khan karatii hai mere yaar diivaanii ladakii tujh pe maratii hai teraa kanganaa jhaanjhar chuudii khan khan karatii hai ye sabako pataa hai yaar tuu mujh pe maratii hai meraa kanganaa	galii galii guunj rahii hain tere pyaar kii khabaren chaaron taraf hain charche tere bol kahaan se guzaren kabhii kisii ke pyaar kii kaliyaan idhar udhar naa bikharen maine bahut chhupaayaa lekin kah gaiin sab kuchh nazaren tuune pyaar kiyaa hai phir itanaa kyuun daratii hai meraa kanganaa	dhiire dhiire khiinch rahaa hai tuu saanson kii dorii naa jaane kab tumane kar lii mere dil kii chorii mere gale kaa haar banengii baahen gorii gorii bade pyaar se rang duungaa main terii umariyaa korii tuu rang de mujhako merii tamannaa karatii hai meraa kanganaa	
jaagate hain ham raat raat bhar kar gaiin terii chaahaten asar,khilaadi 420,2000,sonu nigam kavita subramaniam,sanjeev darshan,sameer, jaagate hain ham raat raat bhar kar gaiin terii chaahaten asar niind kho gaii chain kho gayaa kyaa karen hamen pyaar ho gayaa tum ho bekhabar nahiin tumhen hai kuchh khabar jaagate hain ham	haal dil kaa jaanejaanaan kaise ham kahen duur tumase duur tumase kaise ham rahen naa tumhen pataa naa hamen pataa bevajah hamen aa rahaa mazaa bekaraar karane vaalii aaii hai umar jaagate hain ham	maar daalen naa hamen ye bekaraariyaan hosh men na aane dengii ye khumaariyaan chhaa rahaa sanam pyaar kaa nashaa tumako jaane naa ho gayaa ye kyaa duur kyuun khadii hai paas aa zaraa idhar jaagate hain ham	
main sohanii tuu mahivaal hai,hum kisise kum nahin,2002,anuradha sriram sonu nigam vinod rathod,annu malik,anand bakshi, main sohanii tuu mahivaal hai jo teraa haal hai vo meraa haal hai he mere baare men kyaa khyaal hai ho mere baare men kyaa khyaal hai tuu sohanii tuu mahivaal hai jo teraa haal hai	huun saare shahar men kahiin dhuundh le he mere saa aashiq nahiin dhuundh le mujhase to merii marazii puuchh le teraa nahiin merii marazii kaa savaal hai ai isake baare	haan mere baare men	teraa meraa kab hogaa milan o mere hero o mere sajan huun hero to main huun ye hai villain kuchh bhii ho ye love story kamaal hai mere baare men	o chhaliye hamako kyuun chhal rahaa hai ham donon se tuu kyuun jal rahaa hai huun kabase bhalaa ye chakkar chal rahaa hai pahalaa nahiin duujaa nahiin duujaa nahiin pahalaa nahiin ye tiisaraa saal hai hah hah hah hah hah hah	ai isake baare	
dost hamaare kitane hain pyaare,raajaa ko raani se pyaar ho gayaa,2000,abhijit chorus,jatin lalit,javed akhtar, dost hamaare kitane hain pyaare ye nae nae rang leke aate hain hai inase raat din har ghadii hasiin ki doston ke bin zindagii kuchh bhii nahiin	ye milen to mil gae khvaabon ke kaaravaan ye milen to khil gae raahon men gulasitaan dil kahe ke tuu chalaa chal le jaaen ye jahaan dost hamaare kitane hain pyaare ye naii naii manzilen dikhaate hain hai inase raat din	ye agar hain saath to duniyaa hai dilanashiin ye agar hain saath to khushiyaan hain har kahiin gam kii baaten sochane kii fursat hamen nahiin dost hamaare kitane hain pyaare ye hansate hain khilakhilaate hain hai inase raat din	
lapak jhapak jhapak lapak naach zaraa dhun pe merii,koi mere dil se poochhe,2001,kamaal khan chorus,rajesh roshan,surya bhanu gupt, lapak jhapak jhapak lapak hoy lapak jhapak jhapak lapak naach zaraa dhun pe merii hansii khushii kii ye ghadii do dinon kii zindagii men aaegii naa ghadii ghadii	ik tuu hai mere lie haan ik main huun tere lie lapak jhapak he jhapak lapak	ye mastiyon kii umar dil se ye dil kaa safar aaegaa tujhako mazaa khud se tuu baahar nikal he lapak jhapak saath mere haath men de de haath mere naach zaraa dhun pe merii	milane milaane ke din haan ye hansane gaane ke din ye hain kisii ko sanam dil men basaane ke din lapak jhapak he jhapak lapak	
raajuu chaachaa,raaju chaachaa,2000,shaan francis shweta shraddha ishvari sahar,jatin lalit,anand bakshi, buum buum buum ik din apane ghar ke daravaaze pe rukegii ek gaadii utaregii utaregii ek savaarii utaregii dekhegii duniyaa saarii raajuu chaachaa aaegaa dushman bhaag jaaegaa bam chik bam bam bam chik bam bam raajuu chaachaa raajuu chaachaa huun huun huun huun	lall lall laa hey buddy wheres the beat raajuu chaachaa raajuu chaachaa come come come aae gae kitane mausam raajuu chaachaa raajuu chaachaa come come come rastaa dekhen ham raajuu chaachaa raajuu chaachaa bam chik bam bam raajuu raajuu chaachaa come come come raajuu raajuu chaachaa bam chik bam bam	na police inspector tuu na koii director tuu are gaake to sunaao aisaa kyaa na police inspector	jo bhii hai tuu terii kasam tere jaise dekhe kam raajuu raajuu chaachaa bam chik bam bam raajuu raajuu chaachaa	din ko ham naa roenge raat ko chain se soenge sab ye baaten karate hain taubaa taubaa karate hain bhuut bhii tujhase darate hain tuu aae to phir kyaa gam ham sab naachen chham chham chham raajuu raajuu chaachaa	raajuu raajuu chaachaa we love you 
