Title,Film,Year,Singer,Composer,Lyricist,Lyrics
dil kahataa hai jo chaahen ham vo karen,shararat,2001,sonu nigam chorus,sajid wajid,sameer, dil kahataa hai jo chaahen ham vo karen dil kahataa hai kahataa hai jo chaahen ham vo karen ham naa koii baat sunen jo chaahen raah chunen duniyaa se ham kyuun daren dil he kahataa hai kahataa hai	khushiyaan hamaare lie hamako nahiin koii gam manzil jahaan har ghadii chuume hamaare kadam rang jamaaen ham jahaan jaaen mastii lutaaen mauj manaaen aavaaragii kii kasam saaraa jahaan ruk jaae ambar bhii jhuk jaae jhuum ke ham jab bhii chaahen he he dil kahataa hai jo	paaband rahanaa yahaan manjuur hamako nahiin aazaad rakhanaa hamen kahatii hai ye sarazamiin ham to likhenge aisii kahaanii hamase misaalen degii javaanii hamase hai kal aaj kal saazon kii galiyon men ghut ghut ke yaar mere jiite jii ham kyuun maren dil kahataa hai kahataa hai	
this is the story of eternal love,taajmahal,2001,sunidhi chauhan,santosh nair,rahul b seth,	
koii ishq men paagal hotaa hai  vo ishq kaa matalab samajhegaa,teraa jaadu chal gayaa,2000,shankar mahadevan,ismail darbar,sameer, koii ishq men paagal hotaa hai koii ishq men banataa hai diivaanaa ye ishq junuun hai chaahat hai mushkil hai isako samajhaanaa vo ishq kaa matalab samajhegaa yahaan ishq jise ho jaaegaa haay mahasuus nahiin hone degaa ho ho mahasuus nahiin hone degaa dil chupake se kho jaaegaa haay vo ishq kaa matalab	huun ye ishq to aisaa jaaduu hai haay jo kisii pe bhii chal jaataa hai koii ishq men suulii chadhataa hai koii taajamahal banavaataa hai ye ishq hai jhonkaa khushbuu kaa ho ho ye ishq hai jhonkaa khushbuu kaa sabakii saansen mahakaaegaa haay vo ishq kaa matalab	naa ishq kii koii bolii hai haay naa ishq kii koii bhaashaa hai naa padhaa kisii ne bhii isako haay phir bhii ye sabako aataa hai kaise karate hain ishq yahaan ho ho kaise karate hain ishq yahaan ye ishq ko ishq sikhaaegaa haay vo ishq kaa matalab	
suunaa suunaa man kaa aangan,parineeta,2005,sonu nigam shreya ghoshal,shantanu moitra,swanand kirkire, sonu suunaa	suunaa man kaa aangan dhuundhe paayal kii wo chhanachhan suunii	suunii man kii saragam dhuundhe giit tere hamadam man men shaam ho yaa saveraa laagaa terii hii yaadon kaa deraa tuune bandhan kyon ye todaa tuune kaahe ko munh modaa kaho naa	kaho naa	kaho naa	shreya phuul phuul bhanvaraa dole man men guunje terii yaad baag men papiihaa bole piihu piihu piyu kahaan	aaaa	aaaaaa	sonu kaise kaaten suunii raaten kaho naa	kaho naa kaise bhuulen biitii baaten kaho naa kaho naa kaise thaamen phir teraa daaman kaise mahake man kaa ye aangan kaise bhuulen priit terii saajan kaise baandhen tuutaa ye bandhan man men shaam ho yaa saveraa laagaa terii hii yaadon kaa deraa tuune bandhan kyuun ye todaa tuune kaahe ko munh modaa kaho naa	kaho naa	kaho naa	shreya phuul phuul bhanvaraa dole man men guunje terii yaad baag men papiihaa bole piihu piihu piyu kahaan	sonu phuul phuul bhanvaraa dole man men guunje terii yaad baag men papiihaa bole piihu piihu piyu kahaan	donon phuul phuul bhanvaraa dole man men guunje terii yaad baag men papiihaa bole piihu piihu piyu kahaan shreya kaho naa	hamma hamma	aaaa aaaa 
tumase kitanaa pyaar hai dil men utar kar dekh lo,company,2002,altaaf rajaa,sandeep chowtha,tabish romani, tumase kitanaa pyaar hai dil men utar kar dekh lo naa yakiin aae to phir dil badal kar dekh lo tumase kitanaa	hamane apanii har saans par naam teraa likh diyaa ik tujhe paane kii khaatir khud ko paagal kar diyaa ishq men tum bhii sanam had se guzar kar dekh lo tumase kitanaa	jaane kyuun saare jahaan se ho gae hain bekhabar jabase tum aankhon men aae jaagatii hai ye nazar apanii raaton se merii raaten badal kar dekh lo tumase kitanaa	
tere pyaar men  main ishqan ishqan ho gaii,chor machaaye shor,2002,adnan sami sunidhi chauhan,annu malik,tejpal kaur, ishqan ishqan ishqan ishqan tere pyaar men hoke raanjhanaa main ishqan ho gaii main ishqan ishqan ho gaii tere pyaar men khoke raanjhanaa tere pyaar men khoke main ishqan ishqan ho gaii	main ishqan ishqan ho gayaa tere pyaar men hoke hiiriye tere pyaar men hoke main ishqan ishqan ho gayaa main ishqan ishqan	o meraa maathaa thandaa achchhaa aur nabz hai dhiilii o ho o merii jaan ye jaae pakado aur saans naa aae mar gae khulii havaa ho khet javaan ho chalataa samaan ho o ho ho chadhate savere saath tuu mere chadho chubere o ho ho diivaanaa diivaanaa teraa diivaanaa diivaanaa main ho gayaa main tadapan tadapan ho gaii tere pyaar men	o mere kaul tuu aajaa sadake baahon men samaa jaa rab jii oe siine se lagaa le kyaa jii ye labon ke pyaale naa jii niiche tan kaa kamale man kaa ek milan ho o ho ho sonii sajan kaa chuudii kangan kaa chham se milan ho o ho ho diivaanii diivaanii terii ho gaii main dhadakan dhadakan ho gayaa tere pyaar men	
lukaachhupii bahut huii,rang de basanti,2006,lata a r rahman,a r rahman,prasoon joshi, lataa lukaachhupii bahut huii saamane aajaa naa kahaankahaan dhuundhaa tujhe thak gai hai ab terii maan aajaa saanjh huii mujhe terii fikar dhundhalaa gai dekh merii nazar aajaa naa	rahamaan kyaa bataauun maan kahaan huun main yahaan udane ko mere khulaa aasamaan hai tere qisson jaisaa bholaa	salonaa jahaan hai yahaan sapanon waalaa merii patang ho befikar ud rahii hai maan dor koii luute nahiin biich se kaate naa	lataa terii raah taken ankhiyaan jaane kaisaakaisaa hoye jiyaa dhiiredhiire aakar utare andheraa	teraa diip kahaan dhal ke suuraj kare ishaaraa chandaa tuu hai kahaan mere chandaa tuu hai kahaan	rahamaan kaise tujhako dikhaauun yahaan hai kyaa mainne jharane se paanii maan tod ke piyaa hai guchchhaaguchchhaa kaii kwaabon kaa uchhal ke chhuaa hai chhaayaa lie bhalii dhuup yahaan hai nayaanayaa saa hai ruup yahaan yahaan sab kuchh hai maan phir bhii lage bin tere mujhako akelaa
vaqt kaa saayaa kisane taalaa hai,filhaal,2002,sonu nigam jaspindar narula,annu malik,gulzar, vaqt kaa saayaa kisane taalaa hai ho rahegaa jo hone vaalaa hai vaqt kaa saayaa	din to ye bhii guzar jaaegaa par ye lamhaa guzarataa nahiin aag hii aag hii aag hai phir kyuun suuraj pighalataa nahiin daag dhone se jaate nahiin dard rone se ghatataa nahiin vaqt kaa saayaa	niind men saans lete to hain khvaab jaage to mar jaate hain bebasii hai badii bebasii apane saae se dar jaate hain kaun kisase shikaayat kare jo likhaa hai vo mitataa nahiin vaqt kaa saayaa	
sajanaa jii vaarii vaarii,honeymoon travels pvt ltd,2007,sunidhi chauhan,vishalshekhar,javed akhtar, sajanaa jii vaarii vaarii jaauun jii main	 sajanaa jii vaarii vaarii jaauun jii main	tuu hii to meraa sansaar hai aisaa meraa pyaar hai 2	tuu hii to meraa sansaar hai aisaa meraa pyaar hai 2	charanon men jo naa jagah paauun jii main	charanon men jo naa jagah paauun jii main	to meraa jiinaa hii bekaar hai aisaa meraa pyaar hai	to meraa jiinaa hii bekaar hai aisaa meraa pyaar hai	meraa maan hai tuu abhimaan hai tuu merii puujaa hai tuu meraa dhyaan hai tuu tuu devataa main pujaaran sajanaa tujhape main arpan tere gunagaan hii to gaauun jii main haan tere gunagaan hii to gaauun jii main tuu hii to meraa sansaar hai aisaa meraa pyaar hai	meraa maan hai tuu abhimaan hai tuu merii puujaa hai tuu meraa dhyaan hai tuu tuu devataa main pujaaran sajanaa tujhape main arpan tere gunagaan hii to gaauun jii main haan tere gunagaan hii to gaauun jii main tuu hii to meraa sansaar hai aisaa meraa pyaar hai	sajanaa jii vaarii vaarii jaauun jii main	sajanaa jii vaarii vaarii jaauun jii main	tuu hii to meraa sansaar hai aisaa meraa pyaar hai	tuu hii to meraa sansaar hai aisaa meraa pyaar hai	o merii dhadakan men tuu mere tanman men tuu merii saanson men tuu mere nainan men tuu tuu hai to chamake kajaraa tuu hai to mahake gajaraa tere binaa to na jiine paauun jii main haan tere binaa to naa jeene paauun jii main tuu hii to meraa sansaar hai aisaa meraa pyaar hai	o merii dhadakan men tuu mere tanman men tuu merii saanson men tuu mere nainan men tuu tuu hai to chamake kajaraa tuu hai to mahake gajaraa tere binaa to na jiine paauun jii main haan tere binaa to naa jeene paauun jii main tuu hii to meraa sansaar hai aisaa meraa pyaar hai	sajanaa jii vaarii vaarii jaauun jii main	sajanaa jii vaarii vaarii jaauun jii main	tuu hii to meraa sansaar hai aisaa meraa pyaar hai	tuu hii to meraa sansaar hai aisaa meraa pyaar hai	charanon men jo naa jagah paauun jii main	charanon men jo naa jagah paauun jii main	to meraa jiinaa hii bekaar hai aisaa meraa pyaar hai	to meraa jiinaa hii bekaar hai aisaa meraa pyaar hai
socho kyaa karogii bolo kyaa karogii darling,love ke liye kuch bhi karega,2001,asha kaykay,vishal,abbas tyrewala, socho kyaa karogii bolo kyaa karogii darling jab apane kadamon men hogaa saaraa jahaan ho baadalon ko takiye saa karataa ye aasamaan chaand pe jaanaa hai jangalon men sher ko sher padh ke sunaanaa hai hogaa jo bhii faramaaogii socho kyaa karogii	jaisaa tum kahoge vaisaa hii karegii darling ai darling	socho ke panchhii hamaarii kahaanii hain gaate are dekho parabat bhii raahon men hain sar jhukaate bas ek khvaab duur har ek desh hai amerikaa jaanaa hai ruus kii barf se efariikaa sahalaanaa hai hogaa jo bhii tum chaahogii socho kyaa karogii	duub duubaa daa duu duu duu duu duubaa de socho saahil pe saagar kii laharen bulaaen are dekho pedon kii shaakhen bhii jhuulaa jhulaaen is bauchhaar men har buund hai terii haan baarishon men nahaanaa hai baarishen to bahaanaa hai zindagii nichod ke khushiyon men duub jaanaa hai kyaa tum bhii saath aaogii na na na naa naa na aa naa naa naa naa darling socho kyaa karogii	jab apane kadamon men hogaa saaraa jahaan baadal ho takiye saa gaddaa ye aasamaan chaand pe jaanaa hai hogaa jo bhii faramaaogii 
aa reilii jaa reilii nakhare dikhaa reilii kyaa hai iraadaa teraa,2 october,2003,geetanjali vinod,sunil jha,sunil jha a k vyas,	vi	ai yaar kyaa lag reilii hai baap kuchh bhii bol	baat hai naa haan	ai naatak nahiin kyaa	aa jyaastii naatak nahiin	taariif kiyaa naa	haaii tuu	looking very good mem gii	ai hat vi	are kyaa hathat karataa hai yaar gii	hey move up	vi	aa reilii jaa reilii nakhare dikhaa reilii kyaa hai iraadaa teraa	karatii hai mujhase mohabbat bataa de dimaag kaa dahii mat banaa	are aa reilii jaa reilii nakhare dikhaa reilii kyaa hai iraadaa teraa	karatii hai mujhase mohabbat bataa de dimaag kaa dahii mat banaa gii	chal lele ab tuu jaldii varanaa maar padegii jaldii	haath men le ke haldii sarapat maalish sar kat jaaegyaa	haath men le ke haldii sarapat maalish sar kat jaaegyaa	vi	are baap re	aa reilii jaa reilii nakhare dikhaa reilii kyaa hai iraadaa teraa	karatii hai mujhase mohabbat bataa de dimaag kaa dahii mat banaa gii	chal lele ab tuu jaldii varanaa maar padegii jaldii	haath men le ke haldii sarapat maalish sar kat jaaegyaa	haath men le ke haldii sarapat maalish sar kat jaaegyaa	vi	akad mat baabaa itanaa	yaar ye ladakiyaan aajkal kii akadatii kaahe kii hai achchhe	kyaa kyaa nakhare dikhaa reilii	kyaa main piichhepiichhe aa reilaa huun	tuu aageaage jaa reilii hai	ittii baat bas	haan guru aa jaa tujhe ek lauket dilaa duun phokkat men ghadii laii aayaa	bhejaa phirelaa hai meraa sabakuu phiraa daaluungaa	banake main teraa diivaanaa duniyaa hilaa daaluungaa	samajhii kyaa	bhejaa phirelaa hai meraa	po po	sabakuu phiraa daaluungaa	banake main teraa diivaanaa duniyaa hilaa daaluungaa gii	haddii tuutegii muphat men mummy roegii muphat men	luulaa langadaa ban ke jab tuu apane sar ko khujaaegaa vi	thiik hai baabaa gii	haddii tuutegii muphat men mummy roegii muphat men	luulaa langadaa ban ke jab tuu apane sar ko khujaaegaa	samajhe kyaa	ai chal ee	aa reilii jaa reilii nakhare dikhaa reilii kyaa hai iraadaa teraa	karatii hai mujhase mohabbat bataa de	dimaag kaa dahii mat banaa de samajhii kyaa	kyaa chaal hai bhaaii	are kyaa lag reilii hai baap tanaatan he	baap appun to usakaa diivaana ho gailaa bhaaii	kyaa item hai yaar	ko	chal rii kudiye saade naal nakharaa chhod de aayaa hai diivaanaa soniye	o chalatii hai to chal panjaab nakharaa chhod de aayaa hai diivaanaa soniye	ye to fulatuu hai baap	kuchhkuchh bolataa hai ki nahiin yaar	ouch vi	le ke main aayaa tikit huun picture chalegii to chal	mauqaa hai romance kaa ye bekaar men naa akad	sun	le ke main aayaa tikit huun	huun huun	picture chalegii to ha chal	chal	mauqaa hai romance kaa ye bekaar men naa akad gii	naam haspataal ke baakii jaanaa o paagal aashiq diivaanaa	hospital men kam se kam koii milane to aaegaa vi	balle balle gii	naam haspataal ke baakii jaanaa o paagal aashiq diivaanaa	hospital men kam se kam koii	milane to aaegaa naa yaar	vi	aa reilii jaa reilii nakhare dikhaa reilii kyaa hai iraadaa teraa	karatii hai mujhase mohabbat bataa de dimaag kaa dahii mat banaa naa naa naa	aa reilii jaa reilii nakhare dikhaa reilii kyaa hai iraadaa teraa	karatii hai mujhase mohabbat bataa de dimaag kaa dahii mat banaa gii	chal lele ab tuu jaldii varanaa maar padegii jaldii	haath men le ke haldii sarapat maalish sar kat jaaegyaa	haath men le ke haldii sarapat maalish sar kat jaaegyaa	vi	dimaag kaa dahii mat banaa	ban gayaa 
su ru ru ru ru  kuchh ruup usakaa mahakaa,tum bin,2001,sonu nigam chorus,nikhil vinay,ravi pawaar, he he he he tum su ru ru ru ru ru ru su ru ru ru ru su ru ru ru ru su ru ru ru ru kuchh ruup usakaa mahakaa kuchh main bhii bahakaa bahakaa mastii men dil ye gaane lagaa su ru ru ru ru usape merii nazar hai vo mujhase bekhabar hai mujhe pyaar us pe aane lagaa haay kuchh ruup usakaa	pahale na thii itanii bekaraar zindagii naa jaane kyuun aisaa lagataa hai kabhii kabhii tanhaaii raas nahiin vo mere paas nahiin usakaa ehasaas mere dil men jaagane lagaa puuchho naa haal hai kyaa jhuumen dil aaj meraa kahiin meraa hosh kho na jaae kuchh ruup usakaa	usakii nazar kuchh to kaam aisaa kar gaii naa jaane kab mere dil men vo utar gaii ab tak anjaan thaa main jaanaa hai aaj ye dil ke aramaan use paane ko machal gae dil ne use jaan liyaa maine pahachaan liyaa koii use aaj ye bataae kuchh ruup usakaa	
apun bolaa tuu merii lailaa  ye usakaa style hoengaa,2000,2001,hema sardesai shahrukh khan,annu malik,nitin raikwar, apun bolaa tuu merii lailaa vo bolii phenkataa hai saalaa apun jab bhii sachchii bolataa hai ai usako jhuuth kaayako lagataa hai re	ye usakaa style hoengaa honthon pe naa dil men haan hoengaa aaj nahiin to kal bolegii ai tuu tension kaaeko letaa re apun bolaa tuu	ek kaam kar usako bulaa hotal men khaanaa khilaa samandar kinaare le jaake re bol de khullam khullaa are maine use bulaayaa kokam karii khilaayaa phir dekh ke maukaa maaraa chaukaa dil kii baat bataayaa re ai kyaa bataayaa re apun bolaa tuu	apun jab bhii sachchii bolataa hai ai usako jhuuthiich lagataa hai yaar	sau lafade dekhe maine teraa lafadaa hatake hai sab kuchh clear hoke bhii tuu kisamen atake hai	apun bolaa tuu merii lai	ghar se bhagaa ke le jaa samajhegii terii baat ko are ghar se bhagaa ke le gayaa thaa main usako aadhii raat ko ai settinghuii kyaa apun bolaa tuu	apun jab bhii sachchii bolataa hai ai usako hameshaa jhuuth hii lagataa hai yaar 
laal chunariyaa vaalii  merii shaadii karavaao,jis desh mein gangaa rehtaa hai,2000,udit narayan sapana awasthi,anand raj anand,dev kohli pravin bhardwaj, laal chunariyaa vaalii koii ghar mere bhii laao main kunvaaraa kab tak baithuun band meraa bajavaao are jaise bhii chalataa hai chakkar chalaao merii shaadii karavaao laal chunariyaa vaalii	chhail chhabiilii matavaalii tuu banegii merii gharavaalii tuu kis din mujh ko kahegii suno jii kab se terii diivaanii huun tere dil kii main raanii huun abhii tujhe kahatii huun suno jii are diivaane ko aur naa diivaanaa banaao merii shaadii karavaao	tuu naazuk phuulon kii daalii terii har ek adaa niraalii ruup teraa hai aalaa jii jis din tere ghar aauungii tujh pe vaarii main jaauungii khul jaaegaa kismat kaa taalaa jii are are jaldii se taale kii chaabii ghumaao merii shaadii karavaao	bas ab tum merii ho jaao jaldii se pandit bulavaao patadii pe gaadii aa jaae jii dil ke sab aramaan nikaalo maang merii jaldii bhar daalo ab to mujh se rahaa na jaae jii are are suunaa hai ghar meraa aa ke basaao merii shaadii karavaao	
dil men dard saa  muhabbat ye nahiin to kyaa hai,kranti,2002,udit narayan alka yagnik,jatin lalit,anand bakshi, huun dil men dard saa jagaa hai kaantaa saa kahiin lagaa hai muhabbat ye nahiin to kyaa hai o ho ho aa haa haa haa dil men dard saa	zaraa saa jo duur gae to daude daude paas tumhaare aae yaad tumhaarii haay hamaarii jaan hii naa le jaae chhup jaao tum merii in baahon men marake bhii naa ham bichhade in raahon men vaadaa hamane bhii kiyaa hai vaadaa tumane bhii kiyaa hai muhabbat ye nahiin to	naa ye ham jaane naa tum jaane ik duuje ke ham diivaane likh diye pyaar ne aankhon aankhon men dil ke afasaane jab mile hain ham mile hain anjaanon se ab milenge ham lekin diivaanon se ham tum men jo silasilaa hai saaraa shahar jaanataa hai muhabbat ye nahiin to	
