Title,Film,Year,Singer,Composer,Lyricist,Lyrics
patthar ke sanam tujhe hamane muhabbat kaa khudaa jaanaa,patthar ke sanam,1967,rafi,laxmikantpyarelal,majrooh, patthar ke sanam tujhe hamane muhabbat kaa kudaa jaanaa badii bhuul huii are hamane ye kyaa samajhaa ye kyaa jaanaa  cheharaa teraa dil men liye chalate chale angaaron pe tuu ho kahiin sajade kiye hamane tere rukasaaron pe ham saa na ho koi diivaanaa patthar ke threedots  sochaa na thaa badh jaaengii tanahaaiyaan jab raaton kii rastaa hamen dikhalaaengii shamaaevafaa in aankhon kii thokar lagii phir pahachaanaa patthar ke threedots  ai kaash ke hotii kabar tuune kise thukaraayaa hai shiishaa nahiin saagar nahiin mandirsaa ik dil dhaayaa hai saaraa aasamaan hai viiraanaa patthar ke threedots
maazandaraan maazandaraan,rustom sohrab,1963,talat,sajjad,jaan nisar akhtar, maazandaraan maazandaraan  2  mere vatan mere jahaan ai gulasitaan jannatnishaan   har phuul teraa ik chaman  har shaak hai naazuk dulhan  ai jaaneman ai jaaneman  sadaqe tere threedots  sadaqe tere ye jismojaan  maazandaraan  maazandaraan   zarre hain tere yaa guhar  padatii hai shaahon kii nazar  laalojawaahir is qadar  mumakin nahiin threedots  mumakin nahiin jinakaa bayaan  maazandaraan  maazandaraan   ik husn kii mahafil hai tuu  har shauq kii manzil hai tuu  ham aashiqon kaa dil hai tuu  har lab pe terii daastaan  maazandaraan maazandaraan  
mil gaii thandak nigaahon ko tere diidaar se,zindagi pakistanifilm,1960,noorjehan,master abdullah,,      mil gaii thandak nigaahon ko tere diidaar se ho sake to aaj de aawaaz mujhako pyaar se  2  tujhase milii hai zindagii tuune ataa kii roshanii naqsh hain dil ke mere tasviir tere pyaar kii pyaar wo shay to nahiin jo mil sake baazaar se ho sake to aaj de aawaaz mujhako pyaar se  mil gaii mujhako zubaan shauq hai meraa jawaan daud kar tujhako bataauun main bhalaa jaauun kahaan sheikh nisbat hai mujhe tere darodiiwaar se ho sake to aaj de aawaaz mujhako pyaar se  lab pe hai mere duaa tuu yuun hii mahake sadaa taariikiiyaan bujhatii rahen jalataa rahe teraa diyaa log maangaa hii karen kusbhuu tere gulazaar se  ho sake to aaj de aawaaz mujhako pyaar se mil gaii thandak nigaahon ko tere diidaar se ho sake to aaj de aawaaz mujhako pyaar se 
hai bahaarebaageduniyaa chand roz,bambai ka chor bombay ka chor,1962,rafi,ravi,rajinder krishan,  hai bahaarebaageduniyaa chand roz chand roz dekh lo isakaa tamaashaa chand roz chand roz hai bahaarebaage threedots  laakh daaraa aur sikandar ho gae 2 aaj bolo vo kahaan sab kho gae aaii hichakii maut kii aur so gae 2 har kisii kaa hai baseraa chand roz chand roz hai bahaarebaage threedots  kal talaq rangiin bahaaren thii jahaan aaj qabron ke vahaan dekhe nishaan rang badale har ghadii ye aasamaan 2 aishogam jo kuchh bhii dekhaa chand roz chand roz hai bahaarebaage threedots  kyaa milegaa dil kisii kaa tod ke le duaa tuute dilon ko jod ke jaa magar kuchh yaad apanii chhod ke 2 ho terii duniyaa men charchaa chand roz chand roz hai bahaarebaage threedots 
dil khush hai aaj unase mulaaqaat ho gayii,ghazal,1964,rafi,madan mohan,sahir, dil khush hai aaj unase mulaaqaat ho gayii go duur hii se baat huii baat ho gayii  unase hamaaraa koii taaalluq to ban gayaa bigade bhii vo agar to badii baat ho gayii  dhadakan badhii to saans kii khushabuu bikhar gayii aanchal udaa to rang kii barasaat ho gayii  jii chaahataa hai maan bhii len ab kudaa ko ham jisakaa yakiin na thaa vo qaraamaat ho gayii
bikharaa ke zulfen chaman men na jaanaa,nazrana,1961,lata mukesh,ravi,rajinder krishan, bikharaa ke zulfen chaman men na jaanaa    kyon is liye ki sharmaa na jaayen phuulon ke saaye muhabbat ke nagame tum bhii na gaanaa    kyon is liye ki bhanvaraa tumhaarii hansii na udaaye  muhabbat ke bhanvare kii pahachaan kyaa ye kaliyon se puuchho hamen kyaa pataa harjaaii hogaa ham to nahiin hain kahiin siikh lenaa na tum ye adaa zubaan par kabhii baat aisii na laanaa    kyon is liye ki duniyaan se rasmevafaa mit na jaaye  kaho saath doge kahaan tak meraa vahaan tak jahaan aasamaan jhuk rahaa bolo chalogii jo tum le chaloge kahiin raah men ho na jaanaa judaa meraa pyaar dekhegaa saaraa zamaanaa    kyon is liye ki vaade kiye aur kar ke nibhaaye  
ek thii ladakii merii sahelii,gumrah,1963,asha,ravi,sahir, ek thii ladakii merii sahelii saath palii aur saath hii khelii phuulon jaise gaal the usake resham jaise baal the usake  ham usako gudiyaa kahate the rangon kii pudiyaa kahate the saarii thii mujhe pyaarii thii wo nanhiin raajakulaarii thii wo  ek din usane bholepan se puuchhaa ye paapaa se jaa ke ab main kush rahatii huun jaise sadaa hii kyaa kush rahuungii aise  paapaa bole merii bachchii baat bataauun tujh ko sachchii kal kii baat naa koii jaane kahate hain ye sabhii siyaane   ye mat socho kal kyaa hogaa jo bhii hogaa achchhaa hogaa  2  bachapan biitaa aaii jawaanii ladakii ban gaii ruup kii raanii bal khaatii laharaatii phiratii  ek sundar chanchal ladake ne chhupchhup kar chupakechupake se ladakii kii tasviir banaaii aur ye kah kar use dikhaaii  is par apanaa naam to likh do chhotaa saa paigaam to likh do ladakii pahale to sharamaaii phir man hii man men muskaaii  ik din usane bholepan se puuchhaa ye apane saajan se ab main kush rahatii huun jaise sadaa hii kyaa kush rahuungii aise  usane kahaa kii merii raanii itanii baat hai maine jaanii  kal kii baat naa koii jaane kahate hain ye sabhii siyaane   ye mat socho kal kyaa hogaa jo bhii hogaa achchhaa hogaa  3   uun huun 2  ik paradesii duur se aayaa ladakii par haq apanaa jataayaa ghar waalon ne haamii bhar dii paradesii kii marazii kar dii  pyaar ke waade huye naa puure rah gaye saare kaab adhuure chhod ke saathii aur hamasaaye chal dii ladakii des paraaye  do baanhon ke haar ne rokaa vaadon kii diiwaar ne rokaa ghaayal dil kaa pyaar pukaaraa aanchal kaa har taar pukaaraa  par ladakii kuchh munh se naa bolii patthar ban kar gair kii ho lii ab gumasum hairaan sii hai wo mujhase bhii anajaan sii hai wo  jab bhii dekho chup rahatii hai kahatii hai to ye kahatii hai  kal kii baat naa koii jaane kahate hain ye sabhii siyaane   ye mat socho kal kyaa hogaa jo bhii hogaa achchhaa hogaa  3
dil lagaakar aapase pachhataa rahe hain jaaneman,around the world,1967,mukesh,shankarjaikishan,hasrat,  dil lagaakar aapase pachhataa rahe hain jaaneman pyaar karane kii sazaa ham paa rahe hain jaaneman  aankh kuchh aisii ladii naukarii karanii padii aa gae baaton men ham dil men chhuutii phulajhadii haay ham to phans gae ghabaraa rahe hain jaaneman pyaar karane kii threedots  dil to pahale de diyaa dilabar apane ho chuke paas jo puunjii bachii haay vo bhii kho chuke 2 ham to apane haal par sharamaa rahe hain jaaneman pyaar karane kii threedots 
soch ke ye gagan jhuume abhii chaand nikal aaegaa,jyoti,1969,manna de lata,s d burman,anand bakshi, soch ke ye gagan jhuume abhii chaand nikal aaegaa  jhilamil chamakenge taare soch ke ye gagan jhuume  chaand jab nikal aaegaa dekhegaa na koi gagan ko  chaand ko hii dekhenge saare chaand jab nikal aaegaa   1 phuul jo khile naa to kaise baagon men aae bahaar  dip naa jale to saanvariyaa kaise mite andhakaar  raat dekho kitanii hai kaalii abhii chaand nikal threedots  2 chaand se bhii tum hasiin ho nazadiik aao zaraa  chaand ke nikalane talak to tum jagamagaao zaraa  raat dekho kitanii hai kaalii abhii chaand nikal threedots
dil dhuundhataa hai sahaaresahaare,kaalaa aadmi,1960,mukesh,duttaram,hasrat,  dil dhuundhataa hai sahaaresahaare 2 lute dil ke aramaan bujhe nain taare dil dhuundhataa hai threedots  ye kyaa daur aayaa ki badalii bahaaren hue gair vo bhii kise ham pukaaren vo kahate the hamase ki ham hain tumhaare dil dhuundhataa hai threedots  vafaa is jahaan men kahiin bhii na paaii huii duur manzil ghataa gam kii chhaaii hain kaajal se kaale ajab din hamaare dil dhuundhataa hai threedots  banii mere dil par ye tasviir terii tujhe phir na paayaa ye taqadiir merii nahiin koii apanaa rahe besahaare lute dil ke aramaan threedots 
