Title,Film,Year,Singer,Composer,Lyricist,Lyrics
likhane vaale ne,badi behan,-1,suraiyya,husnlalbhagatram,rajinder krishan,  dil tere aane se pahale bhii yuunhii barabaad thaa aur yuun hii barabaad hai tere chale jaane ke baad  o likhane vaale ne likhane vaale ne likh dii merii taqadiir men barabaadii  dil ko jab terii muhabbat kaa sahaaraa mil gayaa main ne samajhaa merii kashtii ko kinaaraa mil gayaa haay qismat ko magar kuchh aur hii manzuur thaa aankh jab kholii to kashtii se kinaaraa duur thaa likhane vaale ne   threedots  chhod kar duniyaan terii tujhako bhulaane ke liye ham chale aaye yahaan aansuu bahaane ke liye dil abhii bhuulaa na thaa tujhako ki qismat merii khiinch kar laayii tujhe mujhako rulaane ke liye likhane vaale ne   threedots 
kaa karuun sajanii aaye na baalam,swami,0,yesudas,rajesh roshan,amit khanna, kaa karuun sajanii aae na baalam khoj rahii hain piyaa paradesii ankhiyaan  2 aae na baalam  jab bhii koii aahat hoe manavaa moraa bhaage dekho kahiin tuute nahiin prem ke ye dhaage ye matavaarii priit hamaarii chhupe na chhupaae  2 saavan ho tum main huun torii badariyaa aaye na baalam kaa karuunthreedots  bhor bhaii aur saanjh dhalii re samay ne lii angadaaii ye jag saaraa niind se haaraa mohe niind na aaii main ghabaraauun dar dar jaauun aae vo na aae  2 raadhaa bulaae kahaan khoe ho kanhaiyyaa aae na baalam kaa karuunthreedots
koii banaa aaj apanaa,malti madhav,-1,lata,sudhir phadke,pt narendra sharma,  koii banaa aaj apanaa 4  sukh men aankhen band ho rahii khule hriday ke dvaar do man milakar ek hue hain do do nainaa chaar 2 chaar nain dekhen hil mil kar ek madhur sapanaa  banaa aaj apanaa threedots  chaar charan par paanch ek hai chaar agar do baat ek giit men bandhatii jaatii chaar chaandanii raat 2 madhur priit kii phulmaalaa par praan naam japanaa  banaa aaj apanaa threedots  prem hindolaa jhuulen hil mil ek qadam  naache rut chham chham ke bhare bahan men bahan 2 baar baar nainon kaa milanaa palakon kaa jhapanaa  banaa aaj apanaa threedots 
kab meraa nasheman ahalechaman,,-1,habib wali mohammad,,, kab meraa nasheman ahalechaman gulashan men ganvaaraa karate hain gunche apanii aavaazon men bijalii ko pukaaraa karate hain  ponchho na araq ruksaaron se rangiiniiehusn ko badhane do sunate hain ki shabanam ke qatare phuulon ko nikhaaraa karate hain  jaatii huii maiyyat dekh ke bhii allah tum uth kar aa na sake do chaar qadam to dushaman bhii taqaliif ganvaaraa karate hain  ab nazaa kaa aalam hai mujh par tum apanii muhabbat vaapas lo jab kashtii duubane lagatii hai to bojh utaaraa karate hain 
mujh se yuun ruuth kar kyon duur jaa rahii ho mukesh gazal,nonfilm,-1,mukesh,kishore desai,shiv kumar saroj, mujh se yuun ruuth kar kyon duur jaa rahii ho dil to meraa diyaa hai kyon ise bujhaa rahii ho  aavaaz de rahe hain aankhon kaa hai ishaaraa tere binaa o saajan meraa kahaan guzaaraa barabaad mujhako karake duniyaa basaa rahe ho  koi mujhe bataade kab aayegaa saveraa ujadaa meraa chaman hai koi nahiin baseraa yun lut kar kisiike dil ko rulaa rahe ho
main ghii kaa diyaa jalaauun re ghar aao ghar aao,nonfilm,-1,c h atma,o p nayyar,saroj mohini nayyar, chain na din bhar rain na nindiyaa bikhar gaii maathe kii bindiyaa nainan niir bahaauun re ghar aao ghar aao  badii der se khadii suhaagan raah takat hai tihaarii aao man ke miit ab aao puujaa karuun tihaarii main ghii kaa diyaa jalaauun re ghar aao ghar aao
arzeniyaazeishq ke qaabil nahiin rahaa,best of mehdi hassan nonfilm,-1,mehdi hasan,mehdi hasan,ghalib,     arzeniyaazeishq ke qaabil nahiin rahaa jis dil pe naaz thaa mujhe wo dil nahiin rahaa  jaataa huun daagehasaratehastii liye hue huun shammaa kushtaadar kuremahafil nahiin rahaa  waan kar diye hain shauq ne bandenaqaabehusn gair az nigaah ab koii haayil nahiin rahaa  bedaadeishq se nahiin darataa magar asad jis dil pe naaz thaa mujhe wo dil nahiin rahaa 
aa hamasafar pyaar kii sej par kuchh kahen kuchh sunen,yasmeen and chatpattee,-1,lata kishore,basu manohari,yogesh, la aa aa aa ki aa hamasafar pyaar kii sej par     kuchh kahen kuchh sunen     jaag ke raat bhar hamasafar la aa hamasafar pyaar kii sej par     kuchh kahen kuchh sunen     jaag ke raat bhar aa hamasafar  la itanaa pyaar tuu sanam laayaa hai kahaan se ki itanaa ruup tuu sanam laaii hai jahaan se la main jo bhii huun vo hai tere pyaar kaa asar ki kahiin lag na jaae tujh ko merii nazar     aa hamasafar pyaar kii sej par la kuchh kahen kuchh sunen     jaag ke raat bhar aa aa aa donon aa hamasafar  la aao aaj milen kuchh to kho ke paa len ki aao aaj lut ke kuchh to ham churaa len la kahuun kyaa main dil men uth rahii hai kyaa lahar ki gale mujh se milake ho jaa tuu bekhabar la aa hamasafar pyaar kii sej par ki kuchh kahen kuchh sunen     jaag ke raat bhar haa aa la aa hamasafar ki pyaar kii sej par la kuchh kahen ki kuchh sunen donon jaag ke raat bhar     aa hamasafar
ishq mujhako nahiin vahashat hii sahii,nonfilm,-1,saigal,,mirza ghalib,  haan haan ishq mujhako nahiin vahashat hii sahii 2 merii vahashat terii shoharat hii sahii 2 hii merii vahashat terii shoharat hii sahii  qataa kiije naa taaalluq hamase 2 kuchh nahiin hai to adaavat hii sahii haan kuchh nahiin hai to adaavat hii sahii  ham bhii dushaman to nahiin hain apane 2 gair ko tujhase mohabbat hii sahii haan gair ko tujhase mohabbat hii sahii  ham koii tarqewafaa karate hain 2 naa sahii ishq musiibat hii sahii haan naa sahii ishq musiibat hii sahii haan naa sahii ishq musiibat hii sahii  kuchh to de ai falaqenaainsaaf 2 aahofariyaad kii ruubat hii sahii haan aahofariyaad kii ruubat hii sahii  ham bhii taqaliim kii hii hii ham bhii taqaliim kii kuun daalenge 2 beniyaazii terii aadat hii sahii haan beniyaazii terii aadat hii sahii  yaar ke chhed chalii jaaye asad haan e yaar ke chhed chalii jaaye asad gar nahiin vasl to hasarat hii sahii 2  ishq mujhako nahiin vahashat hii sahii 
bas merii jaan bas maan le merii baat,aanchal,-1,lata kishore,r d burman,majrooh, ki bas merii jaan bas maan le merii baat     aaj terii dor hai hamaare saath 2 la  ho matavaale dar hai yahii     tujh se kahiin dorii chhuut na jaae ki are aisaa bhii kyaa teraa meraa     hai zindagii ke saath la  bas merii jaan bas maan le merii baat     dekh aise na chal hamaare saath  la  bas merii jaan bas maan le merii baat     dekh aise na chal hamaare saath ki diivaanaa main bhii huun aisaa     sang teraa na chhoduun chaahe jiyaa jaae la  ab laut jaa o re piyaa     joduun main tere haath ki bas merii jaan bas kaahe jode haath     dar tujhe kis kaa main huun tere saath  ki bas merii jaan bas kaahe jode haath     dar tujhe kis kaa main huun tere saath la  ho maan bhii jaa o mere sanyaa     dhadake jiyaa koii aa hii na jaae ki are aae koii main to yuun hii     chaahuun tujhe din raath  ki hans merii jaan hans ye huii na baat     dar tujhe kis kaa main huun tere saath     ho main huun tere saath     main huun tere  
