Title,Film,Year,Singer,Composer,Lyricist,Lyrics
main piichhe piichhe aauungaa  chaak chikii dum dum,lo main aa gayaa,1998,abhijit kavita subramaniam,anand raj anand,anand raj anand dev kohli rajesh malik, main piichhe piichhe aauungaa ruuthii ho tumhen manaauungaa ab maan bhii jaao kyuun ruuthii ho tum main zahar kahiin se laauungaa terii kasam use khaa jaauungaa sach kahataa huun phir haath malogii tum main naa maanuungii naa maanuungii jo kar lo tum chaak chikii dum dum chaak chikii dum  ai he nahiin dekhii nahiin dekhii maine tere jaisii ladakii ek jhalak men khol dii jisane mere dil kii khidakii naa dekhii hai naa dekhoge mere jaisii ladakii isiilie to dekh ke mujhako terii tabiyat fadakii ab main karataa huun kyaa jaaduu ye bhii dekho tum chaak chikii dum dum threedots  chal piichhe hat hat chal piichhe hat hat chhotaa bachchaa jaan ke isako naa thukaraanaa re akal kaa kachchaa samajh ke isako naa bahakaanaa re are merii to naa maanii bachchon kii to maano tum chaak chikii dum dum threedots  uuhuun khatm karogii jaanejaanaan kab tum ye takaraar ek shart hai pahale mujhase maan lo apanii haar tuu kah le jo kahanaa hai par kar le mujhase pyaar isake lie to karanaa hogaa tumako intazaar intazaar kar luungaa pahale haan to kar do tum chaak chikii dum dum threedots  achchhaa baabaa maan gaii haar he he he he lagataa hai maan gaii 
barasaat ke mausam men  abii zindaa huun to  pii lene do,naajaayaz,1995,kumar sanu,annu malik,indivar, barasaat ke mausam men tanhaaii ke aalam men 2 main ghar se nikal aayaa botal bhii uthaa laayaa abii zindaa huun to  jii lene do  2 bharii barasaat men pii lene do 2   mujhe tukadon men nahiin jiinaa hai qataraa qataraa to nahiin piinaa hai  2 ho aaj paimaane hataa do yaaron haan saaraa maikaanaa pilaa do yaaron maikadon men to piyaa karataa huun 2 chalatii raahon men to pii lene do abii zindaa huun to threedots   mere dushman hain zamaane ke gam baad piine ke ye honge kam  2 ho zulm duniyaa ke na sah paauungaa bin pie aaj na rah paauungaa mujhe haalaat se takaraanaa hai 2 aise haalaat men pii lene do abii zindaa huun to threedots  
ishq binaa kyaa maranaa yaaro ishq binaa kyaa jiinaa,taal,1999,anuradha sriram sujatha sonu nigam a r rahman,a r rahman,anand bakshi, ishq binaa kyaa maranaa yaaro ishq binaa kyaa jiinaa  gud se miithaa ishqishq  imalii se khattaa ishq  vaadaa ye pakkaa ishqishq  dhaagaa ye kachchaa ishq   ishq binaa kyaa jiinaa yaaro ishq binaa kyaa maranaa yaaro   niiche ishq hai uupar rab hai in donon ke biich men sab hai  ek nahiin sab baaten kar lo sau baaton kaa ek matalab hai  rab sabase sonaa ishqishq  rab se bhii sonaa ishq   hiiraa naa pannaa ishqishq  bas ek tamannaa ishqishq   ishq hai kyaa ye kisako pataa ye ishq hai kyaa sabako pataa  ye premnagar anjaan dagar saajan kaa ghar kyaa kisako kabar  chhotii sii umar ye lambaa safar ye ishq hai kyaa ye kisako pataa  ye dard hai yaa dardon kii davaa ye koii sanam yaa aap kudaa   tum ne ishq kaa naam sunaa hai ham ne ishq kiyaa hai  phuulon kaa gulashan ishqishq  kaanton kaa daaman ishq  ishqishq ishqishq ishqishq ishqishq  kisii ke ishq ke vaade kahiin ham tod aaye hain  magar ye dil ye jaan shaayad vahiin ham chhod aaye hain  ishq binaa ishq binaa ishq binaa kyaa jiinaa yaaraa ishq binaa kyaa maranaa 2 ishqishq ishqishq   gud se miithaa imalii se khattaa vaadaa ye pakkaa dhaagaa ye kachchaa ishq  gud se miithaa ishq imalii se khattaa ishq vaadaa ye pakkaa ishq dhaagaa ye kachchaa ishq  is se pahale is raste men kitane hii mahabuub gaye hain  raste men dariyaa hai koii raste men dariyaa hai koii jis men saare duub gaye hain  phal sab se sachchaa  har jhuuth se jhuuthaa  vaadaa ye pakkaa dhaagaa ye kachchaa  ishq binaa main ishq binaa ishq binaa ishq binaa  ishq binaa kyaa jiinaa yaaro ishq binaa kyaa maranaa yaaro   ishq binaa ishq binaa ishq binaa ishq binaa ishq binaa kyaa jiinaa yaaro ishq binaa kyaa maranaa yaaro 
saanware tore bin jiyaa jaaye na,bandit queen,1995,nusrat fateh ali khan humera chana,nusrat fateh ali khan,riazurrehman sushir ayub anwar, saanware tore bin jiyaa jaaye naa 2 jaluun tere pyaar men karuun intazaar teraa kisii se kahaa jaaye naa saanware tore bin jiyaa jaaye naa  striiswar dhuundhe merii priit re tuu hai kahaan miit re aansuu bane giit re aahen sangiit re  saanware tore bin jiyaa jaaye naa  yaad tihaarii moraa man tadapaaye saarii rainaa niind na aaye 2 birahaa kii maarii dekhuun raah tihaarii do nainon ke diip jalaaye jaluun tere pyaar men karuun intazaar teraa kisii se kahaa jaaye naa saanware tore bin jiyaa jaaye naa  striiswar dhuundhe merii priit re tuu hai kahaan miit re aansuu bane giit re aahen sangiit re  saanware tore bin jiyaa jaaye naa  duub chale merii aas ke taare kaise pahunchuun pii ke dwaare 2 tuut gaye sab sang sahaare bole naiyaa duur kinaare jaluun tere pyaar men karuun intazaar teraa kisii se kahaa jaaye naa saanware tore bin jiyaa jaaye naa  striiswar dhuundhe merii priit re tuu hai kahaan miit re aansuu bane giit re aahen sangiit re  saanware
pahalii nazar men  nazar milate hii aisaa kyaa ho gayaa,pyaar koi khel nahin,1999,vinod rathod alka yagnik,jatin lalit,majrooh, pahalii nazar men dil na jaane kaise kho gayaa abhii abhii apanaa thaa paraayaa kaise ho gayaa  haan nazar milate hii aisaa kyaa ho gayaa bataae koii pal men ye kyaa ho gayaa ke aaj tak thaa apanaa jo dil kaise ho gayaa paraayaa nazar milate hii threedots  ye khel hai kyaa kisii ko kabhii na jaane koii na pahachaane kabhii vo kahiin milaa bhii nahiin ke naam pataa koii jaane ho gayaa apanaa ha haan dil men jo kabhii naa are ho gayaa apanaa dil men jo kabhii naa aayaa  nazar milate hii threedots  khulii nazaron kaa khvaab hai ye ajiib hai pyaar kaa aalam basant binaa bahaar khile ke rang barase bin mausam anjaanaa dilabar aisaa tan man par chhaayaa he nazar milate hii threedots 
jab nazar band thii vo mere paas thaa  muhabbat hai yaaron gam,jeenaa marnaa tere sang,1992,anuradha paudwal,dilip sen sameer sen,sameer, jab nazar band thii vo mere paas thaa jab aankh khulii to jaane kyaa ho gayaa jisakii chaahat se roshan thaa dil kaa diyaa aaj vo hii sanam bevafaa ho gayaa  muhabbat hai yaaron gam kaa samandar zaraa sochanaa dil lagaane se pahale nazaren tumhaarii naa khaa jaaen dhokhaa nazaren kisii se milaane se pahale muhabbat hai yaaron threedots  vaadaa to karate hain ye duniyaa vaale magar jag men kaun nibhaataa hai vaadaa kisii duusare ko samajh lenaa yaaron chaahat kaa vaadaa nibhaane se pahale muhabbat hai yaaron threedots  chhotaa saa dil naa kahiin tuut jaae aankhon se dariyaa bhii naa chhuut jaae hazaaron dafaa haath siine pe rakhanaa kisii ko bhii apanaa banaane se pahale muhabbat hai yaaron threedots  milegii zamaane men bas bevafaaii vafaa kii ummiiden na rakhanaa kisii se kahiin biich men naa mahal tuut jaae khvaabon kii duniyaa sajaane se pahale muhabbat hai yaaron threedots 
dil men mere bas ik savaal hai javaab do bataao,pyaar mein kabhi kabhi,1999,krishna kumar,vishal shekhar ravjiyani,vishal, dil men mere bas ik savaal hai javaab do bataao to laut ke tum kab aaogii dil men mere teraa khyaal hai javaab do bataao ke kab merii tum ho jaaogii  jabase khoyaa tujhe zindagii khaalii khaalii sii lag rahii hai tere bin jaanejaanaan jiine kaa koii matalab nahiin hai mujhe chhod ke tum na jaanaa kabhii tumase duur rahake hai jiinaa nahiin dil men mere threedots  jabase dekhaa tujhe merii jaan main to paagal saaa ho gayaa  huun terii aankhon men un nigaahon men main to bas kho gayaa huun mujhe chhod ke threedots  akelaa akelaa main phirataa rahaa duniyaa kii raahon men girataa rahaa tere hii sapanon men khoyaa huaa jaagaa huaa jaise soyaa huaa ab tuu hii manzil hai tuu aarazuu tuu jaan jiine kii chaahat hai tuu tere binaa zindagii hai adhuurii aakar kar le merii tamannaaen puurii dil men mere threedots  haan aisaa bhii ho jaataa hai pyaar men kabhii kabhii 
jaate ho parades piyaa jaate hii khat likhanaa,jeenaa teri gali mein,1990,anuradha paudwal nitin mukesh,babul bose,naqsh lyallpuri, jaate ho parades piyaa jaate hii khat likhanaa dekho tum bhii khat meraa paate hii khat likhanaa jaate ho parades piyaa threedots  likhanaa kaise safar kataa thaa kaise guzare vo pal chhin kyaa mahasuus kiyaa thaa tumane saanjh dhalii jab mere bin kab kab yaad hamaarii aaii kaise tumane raat bitaaii jaate ho parades piyaa threedots  apanii judaaii ke is pal se pahale khat ke aane tak pal pal kii tum baaten likhanaa puuraa khat bhar jaane tak gumasum gumasum khoii khoii tum chhupakar kitanaa roiin jaate ho parades piyaa threedots  dekh nahiin paayenge tumako ojhal hote ye nayanaa lo main palaken muund rahii huun tum chal do mere sajanaa ye to hai ik tarafaa vidaaii isamen pyaar kii hai rusavaaii jaate ho parades piyaa threedots 
chal kar le thodaa pyaar nahiin te mar jaavaange donon,tu chor main sipaahi,1996,kumar sanu poornima,dilip sen sameer sen,anand bakshi, chal kar le thodaa pyaar nahiin te mar jaavaange donon haan kar de merii jaan nahiin te mar jaavaange donon ab na kar intazaar nahiin te mar jaavaange donon chal kar le thodaa threedots  haan kar de mere yaar nahiin te mar jaavaange donon  tere piichhe kabase padii huun main zid pe aaj adii huun main to bechain badii huun kab se taiyaar khadii huun tuu bhii ho jaa taiyaar nahiin te mar jaavaange donon chal kar le thodaa threedots  merii saans chale yuun ruk ruk ke terii nazar uthe yuun jhuk jhuk ke ham saathii donon duhkh sukh ke haay jindadii rah gaii jal phunk kar kar koii jatan diladaar nahiin te mar jaavaange donon chal kar le thodaa threedots  dil men tasviir banaa le mujhe apanii hiir banaa le zulfen zanjiir banaa le ankhiyon ke tiir chalaa le kar tiir jigar ke paar nahiin te mar jaavaange donon chal kar le thodaa threedots 
yaaro sun lo zaraa haan apanaa ye kahanaa,rangeela,1996,udit narayan chitra,a r rahman,mehboob, ai ai ai ai ai ai ai ai ai ai yaaro sun lo zaraa haan apanaa ye kahanaa  jiinaa ho to apun ke jaise hii jiinaa  gaadii bangalaa nahiin naa sahii naa sahii     inakii hamako kyuun ho fikar jii lo jaise mast kalandar  yaaro sun lo zaraa haan apanaa bhii kahanaa jiinaa ho to apun ke jaise hii jiinaa  gaadii banglaa agar ho to kyaa baat hai     inaki kar lo kuchh to kadar yaaro thodaa jaao sudhar   hamako dekho ham hain yaraa apanii marajii ke raajaa  duniyaa bole to mazaa hai naa kaho kud ko raajaa  naam apun kaa munnaa bhaaii ham karen vo jo dil men samaaii  are dhandaa kiyaa naa kiyaa kyaa fikar  kaun aayaa gayaa duniyaa men kyaa kabar  is duniyaa se tum jo rahe bekabar kahiin duniyaa tumhen naa bhulaaye    kal kaa kyaa hai kisane dekhaa ham to aaj men jiite hain  jin men himmat hai nahiin vo aisii baaten karate hain  isakii to tum baat naa karanaa hamako daadaa sab kahate hain  are sheron ke jaisaa hai apanaa jigar uunchaa hii rahaa hai sadaa apanaa sar  sar se jyaadaa uunchii rahe ye nazar aasmaan phir to sar ko jhukaaye 
